| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |         45   |         70   |         70   |         89   |         17   |         12   |         10   |         96   |         97   |        123   |        176   |        149   |         32   |         27   |
|        4  |        161   |        232   |        234   |        329   |        172   |         46   |         40   |        361   |        299   |        453   |        605   |        427   |        125   |        102   |
|        8  |        226   |        493   |        492   |        736   |        362   |        139   |        120   |        407   |        504   |        867   |       1252   |        321   |        386   |        319   |
|       16  |        430   |        848   |        834   |       1316   |        322   |        370   |        319   |        612   |        775   |       1100   |        535   |        530   |       1028   |        850   |
|       32  |        418   |        548   |      n/a     |        525   |        487   |        910   |        798   |        479   |        872   |      n/a     |        722   |        400   |       1156   |        992   |
|       64  |        586   |        716   |      n/a     |        681   |        397   |       1417   |       1217   |        586   |       1776   |      n/a     |        940   |        587   |       1501   |       1280   |
|      128  |        569   |       1309   |      n/a     |        829   |        551   |       1605   |       1402   |        563   |       1985   |      n/a     |        893   |        465   |       1530   |       1342   |
|      256  |        736   |       1065   |      n/a     |        833   |        457   |       1939   |       1694   |        642   |       2071   |      n/a     |        964   |        641   |       1743   |       1532   |
|      512  |        614   |       1362   |      n/a     |        896   |        603   |       1968   |       1741   |        543   |       2092   |      n/a     |       1070   |        520   |       1681   |       1493   |
|     1024  |        717   |       1527   |      n/a     |        982   |        497   |       2161   |       1922   |        587   |       1991   |      n/a     |       1008   |        656   |       1679   |       1523   |
|     2048  |        679   |       1536   |      n/a     |        944   |        629   |       1932   |       1746   |        557   |       1815   |      n/a     |        988   |        497   |       1567   |       1425   |
|     4096  |        704   |       1371   |      n/a     |        971   |        507   |       1804   |       1635   |        538   |       1366   |      n/a     |        860   |        591   |       1535   |       1404   |
|     8192  |        554   |       1252   |      n/a     |        811   |        553   |       1664   |       1542   |        454   |       1117   |      n/a     |        859   |        463   |       1408   |       1285   |
|    16384  |        570   |       1078   |      n/a     |        809   |        460   |       1531   |       1420   |        447   |       1105   |      n/a     |        794   |        496   |       1285   |       1164   |
|    32768  |        545   |        959   |      n/a     |        724   |        462   |       1374   |       1331   |        381   |        897   |      n/a     |        709   |        351   |        797   |        782   |
|    65536  |        404   |        439   |      n/a     |        517   |        292   |        781   |        754   |        296   |        540   |      n/a     |        586   |        244   |        439   |        415   |
|   131072  |        269   |        492   |      n/a     |        531   |        244   |        421   |        402   |        261   |        319   |      n/a     |        422   |        190   |        371   |        357   |
|   262144  |        238   |        329   |      n/a     |        397   |        188   |        361   |        349   |        239   |        303   |      n/a     |        352   |        150   |        358   |        350   |
|   524288  |        236   |        283   |      n/a     |        261   |        141   |        351   |        365   |        236   |        312   |      n/a     |        261   |        135   |        337   |        326   |
|  1048576  |        218   |        269   |      n/a     |        189   |        136   |        357   |        337   |        219   |        306   |      n/a     |        196   |        134   |        327   |        318   |
