size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 0.023000, 0.292000, 0.009000, 0.053000, 0.018000, 0.016000, 
30323, 14.888, 0.036000, 0.321000, 0.014000, 0.100000, 0.026000, 0.023000, 
192, 7.585, 0.038000, 1.393000, 0.013000, 0.101000, 0.032000, 0.029000, 
384, 8.585, 0.073000, 1.335000, 0.018000, 0.192000, 0.052000, 0.049000, 
480, 8.907, 0.084000, 1.302000, 0.018000, 0.193000, 0.063000, 0.061000, 
640, 9.322, 0.115000, 0.266000, 0.033000, 0.376000, 0.084000, 0.082000, 
768, 9.585, 0.136000, 2.081000, 0.031000, 0.375000, 0.096000, 0.094000, 
800, 9.644, 0.142000, 0.270000, 0.032000, 0.375000, 0.102000, 0.099000, 
2400, 11.229, 0.421000, 0.652000, 0.106000, 1.538000, 0.290000, 0.290000, 
9216, 13.170, 1.557000, 1.338000, 0.403000, 5.942000, 1.177000, 1.078000, 
