size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 2.367386, 0.593763, 1.843764, 3.532621, 0.886236, 1.000000, 
30323, 14.888, 2.305360, 0.720454, 2.312499, 3.473943, 0.883566, 1.000000, 
192, 7.585, 2.393289, 1.391091, 1.976143, 2.971692, 0.887277, 1.000000, 
384, 8.585, 2.764724, 1.282746, 1.774948, 3.650733, 0.902574, 1.000000, 
480, 8.907, 2.658982, 1.258721, 1.315736, 2.706204, 0.908918, 1.000000, 
640, 9.322, 2.552503, 0.689771, 2.343177, 3.482977, 0.894114, 1.000000, 
768, 9.585, 2.653715, 0.934920, 1.992811, 2.979393, 0.901116, 1.000000, 
800, 9.644, 2.691031, 1.092405, 1.797999, 2.706184, 0.912181, 1.000000, 
2400, 11.229, 2.552018, 1.035930, 2.412358, 3.905563, 0.923121, 1.000000, 
9216, 13.170, 2.671295, 1.440040, 2.906440, 4.925384, 0.925869, 1.000000, 
