size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 11826.000000, 46866.000000, 15330.000000, 7884.000000, 31536.000000, 27594.000000, 
30323, 14.888, 7200.000000, 22725.000000, 7200.000000, 4725.000000, 18675.000000, 16425.000000, 
192, 7.585, 6016.000000, 10152.000000, 7144.000000, 4700.000000, 15792.000000, 14100.000000, 
384, 8.585, 2296.000000, 4838.000000, 3526.000000, 1722.000000, 6888.000000, 6232.000000, 
480, 8.907, 1755.000000, 3640.000000, 3510.000000, 1755.000000, 5070.000000, 4615.000000, 
640, 9.322, 1376.000000, 5031.000000, 1505.000000, 1032.000000, 3913.000000, 3483.000000, 
768, 9.585, 1116.000000, 3168.000000, 1512.000000, 1008.000000, 3276.000000, 2952.000000, 
800, 9.644, 1015.000000, 2450.000000, 1505.000000, 1015.000000, 2940.000000, 2660.000000, 
2400, 11.229, 279.000000, 675.000000, 297.000000, 180.000000, 756.000000, 702.000000, 
9216, 13.170, 60.000000, 110.000000, 56.000000, 34.000000, 172.000000, 160.000000, 
