size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 491.207379, 1958.488418, 630.708199, 329.182451, 1312.153822, 1162.876151, 
30323, 14.888, 553.301573, 1770.491764, 551.593741, 367.179487, 1443.648869, 1275.556641, 
192, 7.585, 565.941967, 973.669352, 685.404939, 455.788706, 1526.540224, 1354.459376, 
384, 8.585, 491.327814, 1058.965185, 765.309403, 372.085004, 1505.011177, 1358.381594, 
480, 8.907, 490.951628, 1037.108172, 992.167121, 482.385234, 1436.244961, 1305.430922, 
640, 9.322, 539.309593, 1995.725776, 587.488543, 395.233475, 1539.619134, 1376.585538, 
768, 9.585, 544.421449, 1545.311064, 724.972436, 484.909993, 1603.282890, 1444.745266, 
800, 9.644, 507.531902, 1250.253539, 759.612111, 504.689402, 1497.273749, 1365.783479, 
2400, 11.229, 490.592261, 1208.587108, 518.992476, 320.573208, 1356.284859, 1252.014436, 
9216, 13.170, 479.331907, 889.163337, 440.550522, 259.967052, 1382.950744, 1280.426501, 
