size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1987273518, 30.888, 0.152194, 0.151273, 0.153652, 0.151403, 0.151931, 0.150005, 
30208, 14.883, 0.152446, 0.150368, 0.152918, 0.150754, 0.151546, 0.150852, 
192, 7.585, 0.154807, 0.151843, 0.151792, 0.150172, 0.150655, 0.151603, 
384, 8.585, 0.154053, 0.150610, 0.151885, 0.152567, 0.150877, 0.151243, 
480, 8.907, 0.152829, 0.150053, 0.151248, 0.155543, 0.150920, 0.151142, 
640, 9.322, 0.152218, 0.150397, 0.152835, 0.155780, 0.151629, 0.150951, 
768, 9.585, 0.150897, 0.150911, 0.153526, 0.153021, 0.150413, 0.150410, 
800, 9.644, 0.154292, 0.151185, 0.152857, 0.155161, 0.151491, 0.150259, 
2400, 11.229, 0.153260, 0.150512, 0.154220, 0.151318, 0.150216, 0.151103, 
9216, 13.170, 0.151929, 0.150154, 0.154283, 0.158740, 0.150955, 0.151667, 
