size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.008000, 0.151000, 42.897000, 0.004000, 0.014000, 0.008000, 0.005000, 
32, 5.000, 0.013000, 0.430000, 0.430000, 0.006000, 0.020000, 0.010000, 0.008000, 
64, 6.000, 0.016000, 0.224000, 0.224000, 0.006000, 0.031000, 0.015000, 0.011000, 
128, 7.000, 0.029000, 0.309000, 0.309000, 0.008000, 0.054000, 0.021000, 0.020000, 
256, 8.000, 0.047000, 0.283000, 0.283000, 0.012000, 0.102000, 0.038000, 0.034000, 
512, 9.000, 0.094000, 0.310000, 0.310000, 0.018000, 0.192000, 0.066000, 0.064000, 
1024, 10.000, 0.177000, 0.258000, 0.258000, 0.032000, 0.374000, 0.126000, 0.125000, 
2048, 11.000, 0.347000, 0.397000, 0.397000, 0.058000, 0.749000, 0.249000, 0.246000, 
4096, 12.000, 0.684000, 0.338000, 0.338000, 0.108000, 1.476000, 0.482000, 0.480000, 
8192, 13.000, 1.373000, 0.731000, 0.731000, 0.207000, 2.944000, 0.961000, 0.960000, 
16384, 14.000, 2.937000, 0.921000, 0.921000, 0.407000, 6.060000, 2.059000, 1.936000, 
32768, 15.000, 5.521000, 1.514000, 1.514000, 0.801000, 12.347000, 4.118000, 3.853000, 
65536, 16.000, 11.028000, 2.425000, 2.425000, 1.592000, 24.706000, 8.164000, 8.193000, 
131072, 17.000, 22.085000, 4.329000, 4.329000, 3.149000, 49.440000, 16.341000, 16.374000, 
262144, 18.000, 44.108000, 8.777000, 8.777000, 6.312000, 98.808000, 32.596000, 32.680000, 
524288, 19.000, 88.060000, 21.872000, 21.872000, 12.552000, 197.683000, 65.612000, 65.608000, 
1048576, 20.000, 175.954000, 36.863000, 36.863000, 26.262000, 395.198000, 130.825000, 130.770000, 
