size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 1.388518, 1.096135, 0.772233, 1.586849, 1.601799, 0.826405, 1.000000, 
32, 5.000, 2.072940, 1.138203, 1.138203, 1.374835, 2.478000, 0.858003, 1.000000, 
64, 6.000, 2.183988, 0.720406, 0.720406, 1.360728, 2.179875, 0.852737, 1.000000, 
128, 7.000, 2.384263, 0.676097, 0.676097, 1.502787, 2.884794, 0.877296, 1.000000, 
256, 8.000, 2.384993, 0.739625, 0.739625, 1.589446, 2.389959, 0.878694, 1.000000, 
512, 9.000, 2.750964, 0.713466, 0.713466, 1.395751, 2.870642, 0.887944, 1.000000, 
1024, 10.000, 2.596763, 0.764785, 0.764785, 1.511191, 2.320850, 0.907354, 1.000000, 
2048, 11.000, 2.560372, 0.785055, 0.785055, 1.442778, 2.865334, 0.909577, 1.000000, 
4096, 12.000, 2.610550, 1.027194, 1.027194, 1.632260, 2.373284, 0.914546, 1.000000, 
8192, 13.000, 2.834361, 1.151010, 1.151010, 1.496804, 2.775470, 0.912671, 1.000000, 
16384, 14.000, 2.601143, 1.052594, 1.052594, 1.464526, 2.347348, 0.905290, 1.000000, 
32768, 15.000, 2.053331, 0.872084, 0.872084, 1.103273, 2.231193, 0.982016, 1.000000, 
65536, 16.000, 1.405213, 0.768793, 0.768793, 0.708388, 1.701534, 0.947200, 1.000000, 
131072, 17.000, 1.368694, 1.120754, 1.120754, 0.846397, 1.880368, 0.962787, 1.000000, 
262144, 18.000, 1.461986, 1.154731, 1.154731, 0.992744, 2.338826, 0.977198, 1.000000, 
524288, 19.000, 1.380937, 1.046908, 1.046908, 1.252891, 2.420543, 0.968807, 1.000000, 
1048576, 20.000, 1.449433, 1.038884, 1.038884, 1.625929, 2.366834, 0.971800, 1.000000, 
