size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 146594.000000, 182252.000000, 261492.000000, 126784.000000, 126784.000000, 241682.000000, 202062.000000, 
32, 5.000, 45965.000000, 82420.000000, 82420.000000, 68155.000000, 38040.000000, 109365.000000, 93515.000000, 
64, 6.000, 23100.000000, 69960.000000, 69960.000000, 36960.000000, 23100.000000, 58740.000000, 50160.000000, 
128, 7.000, 9622.000000, 33394.000000, 33394.000000, 14999.000000, 7924.000000, 25753.000000, 22640.000000, 
256, 8.000, 4797.000000, 15252.000000, 15252.000000, 7134.000000, 4797.000000, 12792.000000, 11316.000000, 
512, 9.000, 1815.000000, 6820.000000, 6820.000000, 3520.000000, 1705.000000, 5500.000000, 4895.000000, 
1024, 10.000, 864.000000, 2928.000000, 2928.000000, 1488.000000, 984.000000, 2472.000000, 2232.000000, 
2048, 11.000, 374.000000, 1210.000000, 1210.000000, 660.000000, 341.000000, 1045.000000, 957.000000, 
4096, 12.000, 165.000000, 420.000000, 420.000000, 265.000000, 185.000000, 470.000000, 430.000000, 
8192, 13.000, 64.000000, 158.000000, 158.000000, 122.000000, 66.000000, 200.000000, 182.000000, 
16384, 14.000, 30.000000, 73.000000, 73.000000, 52.000000, 33.000000, 85.000000, 77.000000, 
32768, 15.000, 12.000000, 28.000000, 28.000000, 22.000000, 11.000000, 25.000000, 24.000000, 
65536, 16.000, 5.000000, 8.000000, 8.000000, 9.000000, 4.000000, 7.000000, 6.000000, 
131072, 17.000, 2.000000, 3.000000, 3.000000, 3.000000, 2.000000, 3.000000, 3.000000, 
262144, 18.000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 
524288, 19.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
1048576, 20.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
