size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 611.927811, 775.153879, 1100.280601, 535.444269, 530.449244, 1028.153761, 849.669382, 
32, 5.000, 478.646274, 871.731140, 0.000000, 721.689466, 400.405247, 1156.406749, 992.208171, 
64, 6.000, 585.872329, 1776.139316, 0.000000, 940.333395, 586.977237, 1500.512896, 1279.549335, 
128, 7.000, 562.848022, 1984.876712, 0.000000, 892.987455, 465.189223, 1529.674969, 1341.975774, 
256, 8.000, 642.183786, 2070.768680, 0.000000, 963.608975, 640.847483, 1743.036706, 1531.594433, 
512, 9.000, 542.641735, 2092.314248, 0.000000, 1069.536319, 520.021445, 1681.182878, 1492.796823, 
1024, 10.000, 586.519938, 1991.479526, 0.000000, 1007.832684, 656.239254, 1678.554945, 1523.041862, 
2048, 11.000, 556.651163, 1815.443223, 0.000000, 987.827289, 497.400223, 1566.912269, 1425.219541, 
4096, 12.000, 537.650405, 1366.408748, 0.000000, 859.890676, 591.399360, 1534.724464, 1403.568796, 
8192, 13.000, 453.518225, 1116.791866, 0.000000, 858.787618, 463.145077, 1408.435057, 1285.432937, 
16384, 14.000, 447.315630, 1105.397316, 0.000000, 794.476291, 495.681796, 1285.265267, 1163.524444, 
32768, 15.000, 381.010949, 897.103858, 0.000000, 709.110582, 350.639446, 796.675333, 782.342954, 
65536, 16.000, 295.576678, 540.262899, 0.000000, 586.328019, 244.103245, 438.496215, 415.351647, 
131072, 17.000, 261.062892, 318.817195, 0.000000, 422.166702, 190.022599, 371.131493, 357.320048, 
262144, 18.000, 239.352338, 303.044969, 0.000000, 352.486218, 149.616557, 358.098476, 349.928399, 
524288, 19.000, 236.411818, 311.843675, 0.000000, 260.573701, 134.874758, 336.979070, 326.471839, 
1048576, 20.000, 219.405691, 306.112464, 0.000000, 195.589711, 134.362969, 327.243845, 318.015316, 
