size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.153319, 0.150475, 0.152102, 0.151541, 0.152968, 0.150441, 0.152200, 
32, 5.000, 0.153650, 0.151276, 0.151276, 0.151101, 0.152006, 0.151317, 0.150799, 
64, 6.000, 0.151405, 0.151253, 0.151253, 0.150932, 0.151120, 0.150323, 0.150533, 
128, 7.000, 0.153173, 0.150745, 0.150745, 0.150496, 0.152624, 0.150847, 0.151161, 
256, 8.000, 0.152982, 0.150843, 0.150843, 0.151622, 0.153301, 0.150301, 0.151314, 
512, 9.000, 0.154126, 0.150200, 0.150200, 0.151656, 0.151083, 0.150751, 0.151100, 
1024, 10.000, 0.150845, 0.150555, 0.150555, 0.151187, 0.153544, 0.150804, 0.150066, 
2048, 11.000, 0.151360, 0.150150, 0.150150, 0.150517, 0.154444, 0.150243, 0.151270, 
4096, 12.000, 0.150843, 0.151081, 0.151081, 0.151476, 0.153756, 0.150525, 0.150583, 
8192, 13.000, 0.150286, 0.150667, 0.150667, 0.151289, 0.151761, 0.151226, 0.150784, 
16384, 14.000, 0.153835, 0.151479, 0.151479, 0.150131, 0.152707, 0.151696, 0.151797, 
32768, 15.000, 0.154805, 0.153411, 0.153411, 0.152493, 0.154196, 0.154241, 0.150784, 
65536, 16.000, 0.177378, 0.155269, 0.155269, 0.160954, 0.171825, 0.167391, 0.151473, 
131072, 17.000, 0.170704, 0.209671, 0.209671, 0.158342, 0.234522, 0.180116, 0.187078, 
262144, 18.000, 0.197140, 0.155706, 0.155706, 0.267732, 0.315379, 0.263536, 0.269689, 
524288, 19.000, 0.421361, 0.319438, 0.319438, 0.382290, 0.738572, 0.295611, 0.305125, 
1048576, 20.000, 0.955833, 0.685092, 0.685092, 1.072220, 1.560811, 0.640853, 0.659450, 
