size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 0.014000, 10.264000, 0.014000, 0.056000, 0.010000, 0.008000, 
30323, 14.888, 0.017000, 13.247000, 0.015000, 0.083000, 0.019000, 0.019000, 
192, 7.585, 0.022000, 10.420000, 0.015000, 0.086000, 0.016000, 0.013000, 
384, 8.585, 0.034000, 12.252000, 0.018000, 0.153000, 0.026000, 0.023000, 
480, 8.907, 0.040000, 25.724000, 0.019000, 0.161000, 0.031000, 0.028000, 
640, 9.322, 0.053000, 21.657000, 0.034000, 0.309000, 0.038000, 0.035000, 
768, 9.585, 0.064000, 18.225000, 0.037000, 0.292000, 0.045000, 0.041000, 
800, 9.644, 0.064000, 27.873000, 0.034000, 0.303000, 0.047000, 0.045000, 
2400, 11.229, 0.195000, 44.815000, 0.107000, 1.152000, 0.130000, 0.126000, 
9216, 13.170, 0.740000, 30.312000, 0.405000, 4.554000, 0.523000, 0.456000, 
