size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 2.471350, 1.851719, 1.983723, 3.044296, 0.884840, 1.000000, 
30323, 14.888, 2.353589, 1.275951, 2.849854, 5.230210, 0.878082, 1.000000, 
192, 7.585, 2.495984, 1.256040, 2.500150, 4.557678, 0.881383, 1.000000, 
384, 8.585, 2.925045, 1.285008, 2.412226, 3.576335, 0.893023, 1.000000, 
480, 8.907, 2.852508, 1.212898, 1.886385, 2.764338, 0.899248, 1.000000, 
640, 9.322, 2.857970, 1.287320, 2.978579, 5.794961, 0.893865, 1.000000, 
768, 9.585, 2.890582, 1.521634, 2.466808, 4.792999, 0.897363, 1.000000, 
800, 9.644, 2.840595, 1.480521, 2.215067, 4.341698, 0.902312, 1.000000, 
2400, 11.229, 2.692989, 1.321203, 2.952752, 5.595784, 0.919610, 1.000000, 
9216, 13.170, 2.732921, 1.279227, 3.505809, 6.195222, 0.928333, 1.000000, 
