size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 23552.000000, 30720.000000, 28672.000000, 19456.000000, 64512.000000, 57344.000000, 
30323, 14.888, 15283.000000, 27404.000000, 12648.000000, 6851.000000, 40052.000000, 35309.000000, 
192, 7.585, 12292.000000, 24584.000000, 12292.000000, 7024.000000, 34681.000000, 30730.000000, 
384, 8.585, 4992.000000, 11136.000000, 5952.000000, 4032.000000, 15936.000000, 14208.000000, 
480, 8.907, 3825.000000, 9027.000000, 5814.000000, 3978.000000, 12087.000000, 10863.000000, 
640, 9.322, 3060.000000, 6732.000000, 2958.000000, 1530.000000, 9690.000000, 8670.000000, 
768, 9.585, 2465.000000, 4675.000000, 2890.000000, 1530.000000, 7990.000000, 7140.000000, 
800, 9.644, 2268.000000, 4374.000000, 2916.000000, 1539.000000, 7128.000000, 6399.000000, 
2400, 11.229, 660.000000, 1342.000000, 594.000000, 330.000000, 1914.000000, 1760.000000, 
9216, 13.170, 140.000000, 296.000000, 108.000000, 64.000000, 404.000000, 376.000000, 
