size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 481.406255, 642.496579, 599.742843, 390.804246, 1344.563074, 1189.722760, 
30323, 14.888, 576.928372, 1064.188693, 476.463080, 259.616905, 1546.382256, 1357.852159, 
192, 7.585, 593.412393, 1179.217737, 592.422607, 324.978114, 1680.476470, 1481.144749, 
384, 8.585, 528.578242, 1203.196926, 640.949511, 432.319030, 1731.326517, 1546.119605, 
480, 8.907, 541.732131, 1274.056196, 819.183136, 559.012516, 1718.431519, 1545.286721, 
640, 9.322, 596.583902, 1324.473709, 572.429013, 294.224858, 1907.471039, 1705.019402, 
768, 9.585, 602.695841, 1144.907192, 706.233600, 363.475171, 1941.404323, 1742.128950, 
800, 9.644, 577.413152, 1107.850193, 740.472636, 377.778915, 1817.774288, 1640.193114, 
2400, 11.229, 583.916561, 1190.188413, 532.549667, 281.013189, 1709.963319, 1572.473897, 
9216, 13.170, 555.146364, 1185.989731, 432.751697, 244.889309, 1634.274790, 1517.155185, 
