size, log2, FFTPack      , FFTW(estim)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1987273518, 30.888, 0.154636, 0.151128, 0.151108, 0.157358, 0.151654, 0.152348, 
30208, 14.883, 0.155168, 0.150838, 0.155492, 0.154574, 0.151713, 0.152317, 
192, 7.585, 0.150831, 0.151804, 0.151083, 0.157382, 0.150274, 0.151074, 
384, 8.585, 0.155670, 0.152557, 0.153066, 0.153729, 0.151719, 0.151471, 
480, 8.907, 0.150933, 0.151458, 0.151716, 0.152118, 0.150357, 0.150272, 
640, 9.322, 0.153005, 0.151620, 0.154146, 0.155120, 0.151538, 0.151686, 
768, 9.585, 0.150536, 0.150291, 0.150616, 0.154931, 0.151479, 0.150848, 
800, 9.644, 0.151519, 0.152303, 0.151911, 0.157149, 0.151265, 0.150497, 
2400, 11.229, 0.152303, 0.151933, 0.150294, 0.158235, 0.150824, 0.150815, 
9216, 13.170, 0.153044, 0.151463, 0.151454, 0.158601, 0.150021, 0.150402, 
