size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.006000, 0.146000, 0.129000, 0.005000, 0.016000, 0.007000, 0.005000, 
32, 5.000, 0.006000, 1.125000, 1.125000, 0.007000, 0.020000, 0.006000, 0.008000, 
64, 6.000, 0.009000, 1.712000, 1.712000, 0.008000, 0.030000, 0.008000, 0.005000, 
128, 7.000, 0.014000, 2.251000, 2.251000, 0.010000, 0.053000, 0.013000, 0.010000, 
256, 8.000, 0.022000, 4.961000, 4.961000, 0.015000, 0.083000, 0.019000, 0.015000, 
512, 9.000, 0.042000, 6.189000, 6.189000, 0.018000, 0.154000, 0.033000, 0.029000, 
1024, 10.000, 0.081000, 9.933000, 9.933000, 0.037000, 0.289000, 0.086000, 0.054000, 
2048, 11.000, 0.164000, 11.765000, 11.765000, 0.058000, 0.567000, 0.109000, 0.109000, 
4096, 12.000, 0.325000, 13.625000, 13.625000, 0.111000, 1.146000, 0.238000, 0.204000, 
8192, 13.000, 0.649000, 16.056000, 16.056000, 0.209000, 2.247000, 0.462000, 0.409000, 
16384, 14.000, 1.321000, 17.993000, 17.993000, 0.407000, 4.646000, 0.899000, 0.810000, 
32768, 15.000, 2.590000, 21.676000, 21.676000, 0.799000, 9.270000, 1.837000, 1.624000, 
65536, 16.000, 5.178000, 26.439000, 26.439000, 1.633000, 19.456000, 3.220000, 3.216000, 
131072, 17.000, 10.301000, 30.568000, 30.568000, 3.155000, 37.539000, 7.039000, 7.011000, 
262144, 18.000, 20.784000, 49.398000, 49.398000, 6.283000, 75.133000, 13.935000, 13.913000, 
524288, 19.000, 41.654000, 76.957000, 76.957000, 12.562000, 150.255000, 28.612000, 28.102000, 
1048576, 20.000, 83.087000, 97.839000, 97.839000, 26.306000, 301.403000, 56.049000, 55.960000, 
