size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.740463, 0.375789, 0.382272, 0.242260, 0.988793, 0.861067, 1.000000, 
32, 5.000, 1.910406, 1.456220, 1.456220, 1.519512, 1.638897, 0.876855, 1.000000, 
64, 6.000, 2.075250, 1.699615, 1.699615, 1.785133, 3.067741, 0.858751, 1.000000, 
128, 7.000, 2.462759, 1.070566, 1.070566, 1.691493, 2.543806, 0.873503, 1.000000, 
256, 8.000, 2.302062, 1.591203, 1.591203, 2.035234, 3.708381, 0.873873, 1.000000, 
512, 9.000, 2.834243, 1.278378, 1.278378, 1.943815, 2.888185, 0.884778, 1.000000, 
1024, 10.000, 2.680767, 1.258586, 1.258586, 1.956297, 3.863631, 0.889121, 1.000000, 
2048, 11.000, 2.571429, 1.136405, 1.136405, 1.848754, 2.775439, 0.903716, 1.000000, 
4096, 12.000, 2.321817, 1.193125, 1.193125, 1.683300, 3.222511, 0.906606, 1.000000, 
8192, 13.000, 2.782793, 1.231623, 1.231623, 1.900431, 2.787592, 0.926707, 1.000000, 
16384, 14.000, 2.489274, 1.317075, 1.317075, 1.754182, 3.088875, 0.927466, 1.000000, 
32768, 15.000, 2.442003, 1.388044, 1.388044, 1.837698, 2.884203, 0.968921, 1.000000, 
65536, 16.000, 1.869099, 1.716900, 1.716900, 1.458910, 2.586838, 0.966293, 1.000000, 
131072, 17.000, 1.495214, 0.818327, 0.818327, 0.758005, 1.645084, 0.955472, 1.000000, 
262144, 18.000, 1.470167, 1.060966, 1.060966, 0.879650, 1.854101, 0.966795, 1.000000, 
524288, 19.000, 1.544253, 1.288517, 1.288517, 1.399939, 2.582455, 1.039949, 1.000000, 
1048576, 20.000, 1.544281, 1.256294, 1.256294, 1.781843, 2.480588, 0.944654, 1.000000, 
