size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 202906.000000, 405812.000000, 396589.000000, 617941.000000, 156791.000000, 175237.000000, 156791.000000, 
32, 5.000, 81158.000000, 103292.000000, 103292.000000, 99603.000000, 92225.000000, 173383.000000, 151249.000000, 
64, 6.000, 46110.000000, 56869.000000, 56869.000000, 53795.000000, 32277.000000, 112201.000000, 95294.000000, 
128, 7.000, 19082.000000, 44086.000000, 44086.000000, 28294.000000, 19082.000000, 53956.000000, 47376.000000, 
256, 8.000, 10944.000000, 15840.000000, 15840.000000, 12384.000000, 6912.000000, 28512.000000, 25056.000000, 
512, 9.000, 4096.000000, 8960.000000, 8960.000000, 5888.000000, 3968.000000, 12928.000000, 11392.000000, 
1024, 10.000, 2109.000000, 4503.000000, 4503.000000, 2907.000000, 1482.000000, 6384.000000, 5643.000000, 
2048, 11.000, 910.000000, 2054.000000, 2054.000000, 1274.000000, 858.000000, 2574.000000, 2340.000000, 
4096, 12.000, 432.000000, 840.000000, 840.000000, 600.000000, 312.000000, 1104.000000, 1008.000000, 
8192, 13.000, 160.000000, 355.000000, 355.000000, 230.000000, 160.000000, 470.000000, 435.000000, 
16384, 14.000, 76.000000, 142.000000, 142.000000, 106.000000, 62.000000, 202.000000, 186.000000, 
32768, 15.000, 34.000000, 59.000000, 59.000000, 45.000000, 29.000000, 84.000000, 82.000000, 
65536, 16.000, 12.000000, 13.000000, 13.000000, 15.000000, 9.000000, 23.000000, 22.000000, 
131072, 17.000, 4.000000, 7.000000, 7.000000, 8.000000, 4.000000, 6.000000, 6.000000, 
262144, 18.000, 2.000000, 3.000000, 3.000000, 3.000000, 2.000000, 3.000000, 3.000000, 
524288, 19.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 
1048576, 20.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
