size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 430.412780, 848.097493, 833.717514, 1315.546567, 322.318855, 370.130228, 318.705186, 
32, 5.000, 417.613688, 547.866444, 0.000000, 525.044971, 486.797482, 909.854443, 797.810951, 
64, 6.000, 586.217811, 715.778819, 0.000000, 681.488519, 396.561402, 1416.651344, 1216.551504, 
128, 7.000, 569.168226, 1309.334677, 0.000000, 828.689143, 551.033647, 1604.713974, 1401.730861, 
256, 8.000, 736.074194, 1064.908906, 0.000000, 832.576077, 456.935681, 1939.050807, 1694.482390, 
512, 9.000, 614.288020, 1361.910542, 0.000000, 895.678859, 602.809687, 1967.755515, 1741.036377, 
1024, 10.000, 716.856424, 1526.885480, 0.000000, 982.321456, 497.390415, 2161.363231, 1921.736817, 
2048, 11.000, 678.900274, 1536.210775, 0.000000, 944.281212, 629.007530, 1931.756225, 1745.766686, 
4096, 12.000, 704.323528, 1370.627291, 0.000000, 971.485796, 507.466148, 1803.779094, 1635.317556, 
8192, 13.000, 554.168781, 1252.122304, 0.000000, 811.470674, 553.215197, 1664.110646, 1542.125552, 
16384, 14.000, 570.273481, 1077.823399, 0.000000, 809.253382, 459.579243, 1530.597850, 1419.566516, 
32768, 15.000, 545.196166, 959.168094, 0.000000, 724.476093, 461.610803, 1374.075800, 1331.372510, 
65536, 16.000, 403.572684, 439.348430, 0.000000, 517.042511, 291.596908, 780.634937, 754.316956, 
131072, 17.000, 268.997097, 491.503479, 0.000000, 530.621119, 244.493041, 420.954420, 402.211338, 
262144, 18.000, 237.699271, 329.377208, 0.000000, 397.268135, 188.475291, 361.461599, 349.451129, 
524288, 19.000, 236.285645, 283.181397, 0.000000, 260.643244, 141.294268, 350.867247, 364.883738, 
1048576, 20.000, 218.484741, 268.570902, 0.000000, 189.355336, 136.017247, 357.168744, 337.403549, 
