size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.150855, 0.153119, 0.152220, 0.150311, 0.155663, 0.151503, 0.157428, 
32, 5.000, 0.155470, 0.150828, 0.150828, 0.151763, 0.151562, 0.152449, 0.151664, 
64, 6.000, 0.151021, 0.152545, 0.152545, 0.151560, 0.156273, 0.152067, 0.150396, 
128, 7.000, 0.150197, 0.150844, 0.150844, 0.152961, 0.155140, 0.150633, 0.151416, 
256, 8.000, 0.152249, 0.152315, 0.152315, 0.152313, 0.154899, 0.150570, 0.151417, 
512, 9.000, 0.153628, 0.151580, 0.151580, 0.151460, 0.151661, 0.151371, 0.150756, 
1024, 10.000, 0.150631, 0.150996, 0.150996, 0.151517, 0.152553, 0.151229, 0.150344, 
2048, 11.000, 0.150983, 0.150606, 0.150606, 0.151971, 0.153647, 0.150089, 0.150981, 
4096, 12.000, 0.150738, 0.150616, 0.150616, 0.151784, 0.151098, 0.150417, 0.151485, 
8192, 13.000, 0.153738, 0.150968, 0.150968, 0.150924, 0.154003, 0.150390, 0.150201, 
16384, 14.000, 0.152844, 0.151098, 0.151098, 0.150224, 0.154721, 0.151359, 0.150271, 
32768, 15.000, 0.153263, 0.151171, 0.151171, 0.152651, 0.154395, 0.150238, 0.151365, 
65536, 16.000, 0.155894, 0.155133, 0.155133, 0.152102, 0.161819, 0.154472, 0.152911, 
131072, 17.000, 0.165669, 0.158672, 0.158672, 0.167971, 0.182273, 0.158798, 0.166198, 
262144, 18.000, 0.198511, 0.214887, 0.214887, 0.178164, 0.250356, 0.195813, 0.202543, 
524288, 19.000, 0.210793, 0.175885, 0.175885, 0.191094, 0.352508, 0.283910, 0.273004, 
1048576, 20.000, 0.479931, 0.390428, 0.390428, 0.553761, 0.770914, 0.293580, 0.310778, 
