size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.005000, 0.091000, 51.004000, 0.000000, 0.000000, 
4, 2.000, 0.005000, 0.085000, 51.516000, 0.000000, 0.000000, 
8, 3.000, 0.006000, 0.101000, 43.408000, 0.000000, 0.000000, 
16, 4.000, 0.006000, 0.093000, 44.402000, 0.008000, 0.005000, 
32, 5.000, 0.006000, 0.242000, 0.242000, 0.008000, 0.007000, 
64, 6.000, 0.008000, 0.138000, 0.138000, 0.011000, 0.008000, 
128, 7.000, 0.010000, 0.193000, 0.193000, 0.015000, 0.011000, 
256, 8.000, 0.015000, 0.162000, 0.162000, 0.020000, 0.019000, 
512, 9.000, 0.035000, 0.186000, 0.186000, 0.028000, 0.028000, 
1024, 10.000, 0.045000, 0.153000, 0.153000, 0.049000, 0.048000, 
2048, 11.000, 0.128000, 0.237000, 0.237000, 0.102000, 0.090000, 
4096, 12.000, 0.245000, 0.177000, 0.177000, 0.189000, 0.186000, 
8192, 13.000, 0.484000, 0.418000, 0.418000, 0.365000, 0.360000, 
16384, 14.000, 0.934000, 0.820000, 0.820000, 0.688000, 0.694000, 
32768, 15.000, 1.926000, 1.259000, 1.259000, 1.366000, 1.369000, 
65536, 16.000, 3.836000, 1.969000, 1.969000, 3.870000, 4.044000, 
131072, 17.000, 7.669000, 3.578000, 3.578000, 7.935000, 8.038000, 
262144, 18.000, 15.187000, 7.272000, 7.272000, 15.896000, 15.933000, 
524288, 19.000, 30.522000, 16.518000, 16.518000, 31.713000, 31.747000, 
1048576, 20.000, 60.376000, 29.217000, 29.217000, 63.330000, 63.183000, 
2097152, 21.000, 121.363000, 49.881000, 49.881000, 126.120000, 126.112000, 
