size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, 1.129933, 1.014650, 0.810914, 0.846811, 1.000000, 
32, 5.000, 1.627276, 1.069737, 1.069737, 0.885549, 1.000000, 
64, 6.000, 1.621916, 0.705266, 0.705266, 0.879111, 1.000000, 
128, 7.000, 1.593506, 0.677494, 0.677494, 0.889672, 1.000000, 
256, 8.000, 1.564487, 0.748977, 0.748977, 0.908346, 1.000000, 
512, 9.000, 1.833623, 0.698107, 0.698107, 0.924433, 1.000000, 
1024, 10.000, 1.778842, 0.813611, 0.813611, 0.918418, 1.000000, 
2048, 11.000, 1.718467, 0.773330, 0.773330, 0.922208, 1.000000, 
4096, 12.000, 1.704826, 0.980134, 0.980134, 0.919550, 1.000000, 
8192, 13.000, 1.981499, 1.178408, 1.178408, 0.940347, 1.000000, 
16384, 14.000, 1.957286, 1.263451, 1.263451, 0.923496, 1.000000, 
32768, 15.000, 1.742066, 1.155472, 1.155472, 0.929306, 1.000000, 
65536, 16.000, 1.425601, 0.867723, 0.867723, 1.062216, 1.000000, 
131072, 17.000, 1.618229, 0.913529, 0.913529, 1.177174, 1.000000, 
262144, 18.000, 1.701885, 1.134425, 1.134425, 1.351753, 1.000000, 
524288, 19.000, 1.436809, 1.715303, 1.715303, 1.404184, 1.000000, 
1048576, 20.000, 1.430351, 1.748849, 1.748849, 1.525331, 1.000000, 
2097152, 21.000, 1.616624, 1.839545, 1.839545, 1.547582, 1.000000, 
