size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 1633247.000000, 1866568.000000, 2566531.000000, 0.000000, 0.000000, 
4, 2.000, 1399920.000000, 1283260.000000, 1924890.000000, 0.000000, 0.000000, 
8, 3.000, 622176.000000, 719391.000000, 1127694.000000, 0.000000, 0.000000, 
16, 4.000, 349968.000000, 393714.000000, 488497.000000, 466624.000000, 401005.000000, 
32, 5.000, 116640.000000, 177876.000000, 177876.000000, 215784.000000, 189540.000000, 
64, 6.000, 60750.000000, 139725.000000, 139725.000000, 111780.000000, 98415.000000, 
128, 7.000, 27560.000000, 65000.000000, 65000.000000, 49400.000000, 44200.000000, 
256, 8.000, 13847.000000, 28829.000000, 28829.000000, 23835.000000, 21792.000000, 
512, 9.000, 5151.000000, 13433.000000, 13433.000000, 10201.000000, 9393.000000, 
1024, 10.000, 2520.000000, 5445.000000, 5445.000000, 4815.000000, 4410.000000, 
2048, 11.000, 1100.000000, 2460.000000, 2460.000000, 2060.000000, 1900.000000, 
4096, 12.000, 513.000000, 891.000000, 891.000000, 954.000000, 873.000000, 
8192, 13.000, 200.000000, 336.000000, 336.000000, 420.000000, 396.000000, 
16384, 14.000, 96.000000, 148.000000, 148.000000, 200.000000, 186.000000, 
32768, 15.000, 46.000000, 68.000000, 68.000000, 85.000000, 79.000000, 
65536, 16.000, 17.000000, 27.000000, 27.000000, 22.000000, 24.000000, 
131072, 17.000, 6.000000, 10.000000, 10.000000, 8.000000, 9.000000, 
262144, 18.000, 3.000000, 4.000000, 4.000000, 4.000000, 5.000000, 
524288, 19.000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 
1048576, 20.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
2097152, 21.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
