size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.157171, 0.168942, 0.151029, 0.000000, 0.000000, 
4, 2.000, 0.155339, 0.155244, 0.152407, 0.000000, 0.000000, 
8, 3.000, 0.154881, 0.152003, 0.150066, 0.000000, 0.000000, 
16, 4.000, 0.150166, 0.151701, 0.150428, 0.150053, 0.152279, 
32, 5.000, 0.150323, 0.150699, 0.150699, 0.151338, 0.150113, 
64, 6.000, 0.150522, 0.150540, 0.150540, 0.150118, 0.150344, 
128, 7.000, 0.150309, 0.150720, 0.150720, 0.150421, 0.151278, 
256, 8.000, 0.150594, 0.150099, 0.150099, 0.150503, 0.151488, 
512, 9.000, 0.151591, 0.150511, 0.150511, 0.151353, 0.150757, 
1024, 10.000, 0.152635, 0.150845, 0.150845, 0.150575, 0.150161, 
2048, 11.000, 0.150012, 0.150970, 0.150970, 0.150760, 0.150780, 
4096, 12.000, 0.150303, 0.150084, 0.150084, 0.150763, 0.150032, 
8192, 13.000, 0.151276, 0.151142, 0.151142, 0.150760, 0.151163, 
16384, 14.000, 0.152644, 0.151908, 0.151908, 0.150045, 0.151102, 
32768, 15.000, 0.153247, 0.150257, 0.150257, 0.151059, 0.151074, 
65536, 16.000, 0.157809, 0.152556, 0.152556, 0.152167, 0.156275, 
131072, 17.000, 0.170422, 0.160345, 0.160345, 0.165296, 0.157970, 
262144, 18.000, 0.182127, 0.161868, 0.161868, 0.192878, 0.178359, 
524288, 19.000, 0.257959, 0.153980, 0.153980, 0.252101, 0.179535, 
1048576, 20.000, 0.274858, 0.336062, 0.336062, 0.293109, 0.192160, 
2097152, 21.000, 0.664234, 0.755827, 0.755827, 0.635865, 0.410877, 
