size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.004000, 0.937000, 0.071000, 0.000000, 0.000000, 
4, 2.000, 0.004000, 0.073000, 0.074000, 0.000000, 0.000000, 
8, 3.000, 0.009000, 0.070000, 0.072000, 0.000000, 0.000000, 
16, 4.000, 0.005000, 0.080000, 0.082000, 0.000000, 0.000000, 
32, 5.000, 0.005000, 0.659000, 0.659000, 0.008000, 0.006000, 
64, 6.000, 0.005000, 0.909000, 0.909000, 0.007000, 0.005000, 
128, 7.000, 0.008000, 1.123000, 1.123000, 0.011000, 0.007000, 
256, 8.000, 0.009000, 2.590000, 2.590000, 0.013000, 0.009000, 
512, 9.000, 0.014000, 3.172000, 3.172000, 0.022000, 0.017000, 
1024, 10.000, 0.021000, 5.124000, 5.124000, 0.026000, 0.025000, 
2048, 11.000, 0.041000, 6.025000, 6.025000, 0.044000, 0.042000, 
4096, 12.000, 0.073000, 6.837000, 6.837000, 0.079000, 0.077000, 
8192, 13.000, 0.231000, 8.140000, 8.140000, 0.169000, 0.161000, 
16384, 14.000, 0.478000, 9.077000, 9.077000, 0.310000, 0.308000, 
32768, 15.000, 0.932000, 11.018000, 11.018000, 0.628000, 0.603000, 
65536, 16.000, 1.136000, 12.254000, 12.254000, 1.180000, 1.179000, 
131072, 17.000, 3.506000, 17.328000, 17.328000, 3.614000, 3.710000, 
262144, 18.000, 7.016000, 29.227000, 29.227000, 7.179000, 7.145000, 
524288, 19.000, 14.408000, 47.444000, 47.444000, 14.459000, 14.295000, 
1048576, 20.000, 27.998000, 64.301000, 64.301000, 28.773000, 28.673000, 
2097152, 21.000, 56.791000, 160.246000, 160.246000, 57.727000, 57.682000, 
