size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, inf, inf, inf, 0.000000, 0.000000, 
32, 5.000, 1.446261, 1.286663, 1.286663, 0.862711, 1.000000, 
64, 6.000, 1.660507, 1.625339, 1.625339, 0.865460, 1.000000, 
128, 7.000, 1.677384, 0.997425, 0.997425, 0.870935, 1.000000, 
256, 8.000, 1.683631, 1.466784, 1.466784, 0.874780, 1.000000, 
512, 9.000, 2.019493, 1.230927, 1.230927, 0.884074, 1.000000, 
1024, 10.000, 1.939029, 1.213200, 1.213200, 0.887944, 1.000000, 
2048, 11.000, 1.815680, 1.183581, 1.183581, 0.897379, 1.000000, 
4096, 12.000, 1.673624, 1.106622, 1.106622, 0.898828, 1.000000, 
8192, 13.000, 1.989786, 1.240181, 1.240181, 0.915661, 1.000000, 
16384, 14.000, 1.937865, 1.361925, 1.361925, 0.929172, 1.000000, 
32768, 15.000, 1.837082, 1.340317, 1.340317, 0.909079, 1.000000, 
65536, 16.000, 1.721798, 1.377789, 1.377789, 0.927226, 1.000000, 
131072, 17.000, 1.394632, 0.849736, 0.849736, 0.926549, 1.000000, 
262144, 18.000, 1.302262, 0.813024, 0.813024, 0.940025, 1.000000, 
524288, 19.000, 1.292306, 1.251288, 1.251288, 0.952632, 1.000000, 
1048576, 20.000, 0.952989, 0.897360, 0.897360, 1.018591, 1.000000, 
2097152, 21.000, 0.975835, 1.012259, 1.012259, 1.026300, 1.000000, 
