size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 1502439.000000, 3004878.000000, 3004878.000000, 0.000000, 0.000000, 
4, 2.000, 1252030.000000, 2378857.000000, 2378857.000000, 0.000000, 0.000000, 
8, 3.000, 667744.000000, 1502424.000000, 1502424.000000, 0.000000, 0.000000, 
16, 4.000, 438200.000000, 829450.000000, 845100.000000, 0.000000, 0.000000, 
32, 5.000, 200320.000000, 219100.000000, 219100.000000, 325520.000000, 281700.000000, 
64, 6.000, 112144.000000, 112144.000000, 112144.000000, 211248.000000, 182560.000000, 
128, 7.000, 55850.000000, 92711.000000, 92711.000000, 106115.000000, 92711.000000, 
256, 8.000, 29340.000000, 33741.000000, 33741.000000, 56235.000000, 49389.000000, 
512, 9.000, 11067.000000, 18228.000000, 18228.000000, 25172.000000, 22351.000000, 
1024, 10.000, 5626.000000, 8924.000000, 8924.000000, 12125.000000, 10767.000000, 
2048, 11.000, 2596.000000, 4004.000000, 4004.000000, 5280.000000, 4708.000000, 
4096, 12.000, 1180.000000, 1760.000000, 1760.000000, 2180.000000, 1960.000000, 
8192, 13.000, 432.000000, 693.000000, 693.000000, 945.000000, 864.000000, 
16384, 14.000, 204.000000, 288.000000, 288.000000, 424.000000, 392.000000, 
32768, 15.000, 98.000000, 134.000000, 134.000000, 198.000000, 180.000000, 
65536, 16.000, 46.000000, 57.000000, 57.000000, 85.000000, 79.000000, 
131072, 17.000, 12.000000, 20.000000, 20.000000, 18.000000, 17.000000, 
262144, 18.000, 5.000000, 7.000000, 7.000000, 6.000000, 6.000000, 
524288, 19.000, 2.000000, 2.000000, 2.000000, 3.000000, 3.000000, 
1048576, 20.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
2097152, 21.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
