size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 82.289353, 187.523590, 187.654751, 0.000000, 0.000000, 
4, 2.000, 316.285003, 622.871955, 621.817730, 0.000000, 0.000000, 
8, 3.000, 515.891374, 1179.767437, 1175.812643, 0.000000, 0.000000, 
16, 4.000, 934.515162, 1762.279735, 1775.863201, 0.000000, 0.000000, 
32, 5.000, 1035.372559, 1163.800544, 0.000000, 1735.713238, 1497.418587, 
64, 6.000, 1402.265596, 1432.606639, 0.000000, 2690.450403, 2328.478616, 
128, 7.000, 1638.967130, 2756.271310, 0.000000, 3156.569835, 2749.174477, 
256, 8.000, 1990.998012, 2285.346598, 0.000000, 3831.950757, 3352.113102, 
512, 9.000, 1690.536896, 2773.527757, 0.000000, 3861.682203, 3414.017860, 
1024, 10.000, 1894.475429, 3027.891319, 0.000000, 4137.011862, 3673.446215, 
2048, 11.000, 1946.529093, 2986.053668, 0.000000, 3938.409377, 3534.263169, 
4096, 12.000, 1900.870477, 2874.844473, 0.000000, 3539.455760, 3181.359223, 
8192, 13.000, 1532.377793, 2458.598831, 0.000000, 3329.938059, 3049.095139, 
16384, 14.000, 1546.539046, 2200.571893, 0.000000, 3225.462119, 2996.999913, 
32768, 15.000, 1593.078541, 2183.533905, 0.000000, 3219.329015, 2926.604655, 
65536, 16.000, 1586.410567, 1982.527150, 0.000000, 2945.905497, 2731.477034, 
131072, 17.000, 885.252180, 1452.936881, 0.000000, 1332.483904, 1234.601881, 
262144, 18.000, 631.804232, 1011.990147, 0.000000, 875.266708, 822.771055, 
524288, 19.000, 623.418029, 643.855322, 0.000000, 845.707170, 805.640157, 
1048576, 20.000, 558.005481, 592.599960, 0.000000, 522.071805, 531.778094, 
2097152, 21.000, 514.467790, 495.955927, 0.000000, 489.171323, 502.035858, 
