size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.182580, 0.160240, 0.160128, 0.000000, 0.000000, 
4, 2.000, 0.158342, 0.152767, 0.153026, 0.000000, 0.000000, 
8, 3.000, 0.155322, 0.152819, 0.153333, 0.000000, 0.000000, 
16, 4.000, 0.150050, 0.150614, 0.152282, 0.000000, 0.000000, 
32, 5.000, 0.154781, 0.150610, 0.150610, 0.150034, 0.150499, 
64, 6.000, 0.153549, 0.150297, 0.150297, 0.150754, 0.150534, 
128, 7.000, 0.152662, 0.150691, 0.150691, 0.150605, 0.151080, 
256, 8.000, 0.150900, 0.151184, 0.151184, 0.150275, 0.150873, 
512, 9.000, 0.150830, 0.151422, 0.151422, 0.150184, 0.150839, 
1024, 10.000, 0.152048, 0.150900, 0.150900, 0.150060, 0.150069, 
2048, 11.000, 0.150223, 0.151039, 0.151039, 0.151010, 0.150048, 
4096, 12.000, 0.152560, 0.150456, 0.150456, 0.151367, 0.151410, 
8192, 13.000, 0.150114, 0.150089, 0.150089, 0.151112, 0.150885, 
16384, 14.000, 0.151282, 0.150098, 0.150098, 0.150762, 0.150009, 
32768, 15.000, 0.151182, 0.150819, 0.150819, 0.151151, 0.151154, 
65536, 16.000, 0.152024, 0.150739, 0.150739, 0.151276, 0.151635, 
131072, 17.000, 0.151023, 0.153360, 0.153360, 0.150501, 0.153409, 
262144, 18.000, 0.186711, 0.163194, 0.163194, 0.161731, 0.172050, 
524288, 19.000, 0.159788, 0.154716, 0.154716, 0.176683, 0.185470, 
1048576, 20.000, 0.187915, 0.176945, 0.176945, 0.200849, 0.197183, 
2097152, 21.000, 0.428017, 0.443993, 0.443993, 0.450151, 0.438616, 
