size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.006000, 0.068000, 35.355000, 0.000000, 0.000000, 
4, 2.000, 0.007000, 0.075000, 47.270000, 0.000000, 0.000000, 
8, 3.000, 0.007000, 0.079000, 42.443000, 0.000000, 0.000000, 
16, 4.000, 0.007000, 0.081000, 43.159000, 0.009000, 0.005000, 
32, 5.000, 0.008000, 0.184000, 0.184000, 0.008000, 0.005000, 
64, 6.000, 0.008000, 0.092000, 0.092000, 0.012000, 0.007000, 
128, 7.000, 0.009000, 0.137000, 0.137000, 0.011000, 0.012000, 
256, 8.000, 0.013000, 0.141000, 0.141000, 0.014000, 0.012000, 
512, 9.000, 0.019000, 0.141000, 0.141000, 0.020000, 0.017000, 
1024, 10.000, 0.038000, 0.124000, 0.124000, 0.032000, 0.029000, 
2048, 11.000, 0.070000, 0.131000, 0.131000, 0.057000, 0.052000, 
4096, 12.000, 0.132000, 0.143000, 0.143000, 0.101000, 0.102000, 
8192, 13.000, 0.261000, 0.295000, 0.295000, 0.193000, 0.193000, 
16384, 14.000, 0.495000, 0.468000, 0.468000, 0.379000, 0.378000, 
32768, 15.000, 1.097000, 0.609000, 0.609000, 0.771000, 0.750000, 
65536, 16.000, 2.034000, 1.127000, 1.127000, 1.485000, 1.485000, 
131072, 17.000, 4.445000, 1.976000, 1.976000, 3.002000, 3.002000, 
262144, 18.000, 8.930000, 4.221000, 4.221000, 5.968000, 5.959000, 
524288, 19.000, 17.738000, 10.258000, 10.258000, 11.914000, 11.914000, 
1048576, 20.000, 34.641000, 17.024000, 17.024000, 23.734000, 23.740000, 
2097152, 21.000, 69.164000, 10.815000, 10.815000, 67.249000, 47.536000, 
