size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, 1.321483, 0.900682, 0.653732, 0.850303, 1.000000, 
32, 5.000, 1.670125, 1.127091, 1.127091, 0.874877, 1.000000, 
64, 6.000, 1.565554, 0.945502, 0.945502, 0.870543, 1.000000, 
128, 7.000, 1.509886, 0.860703, 0.860703, 0.881569, 1.000000, 
256, 8.000, 1.527182, 0.876146, 0.876146, 0.886685, 1.000000, 
512, 9.000, 1.609537, 0.857108, 0.857108, 0.908533, 1.000000, 
1024, 10.000, 1.630623, 1.000044, 1.000044, 0.920250, 1.000000, 
2048, 11.000, 1.549726, 0.956532, 0.956532, 0.922634, 1.000000, 
4096, 12.000, 1.704275, 1.236539, 1.236539, 0.922538, 1.000000, 
8192, 13.000, 1.801874, 1.336315, 1.336315, 0.941647, 1.000000, 
16384, 14.000, 1.836843, 1.452981, 1.452981, 0.947098, 1.000000, 
32768, 15.000, 1.547967, 1.293231, 1.293231, 0.963852, 1.000000, 
65536, 16.000, 1.303033, 0.964466, 0.964466, 0.939292, 1.000000, 
131072, 17.000, 1.462182, 1.030153, 1.030153, 0.983484, 1.000000, 
262144, 18.000, 1.476935, 1.540994, 1.540994, 1.017101, 1.000000, 
524288, 19.000, 1.295537, 1.554045, 1.554045, 0.964443, 1.000000, 
1048576, 20.000, 1.321395, 1.825816, 1.825816, 1.012081, 1.000000, 
2097152, 21.000, 1.349712, 1.670978, 1.670978, 0.942272, 1.000000, 
