size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 1445455.000000, 2312728.000000, 3758183.000000, 0.000000, 0.000000, 
4, 2.000, 867264.000000, 1662256.000000, 3035424.000000, 0.000000, 0.000000, 
8, 3.000, 433620.000000, 915420.000000, 1638120.000000, 0.000000, 0.000000, 
16, 4.000, 379428.000000, 551074.000000, 758856.000000, 587210.000000, 496870.000000, 
32, 5.000, 148133.000000, 220393.000000, 220393.000000, 285427.000000, 249297.000000, 
64, 6.000, 84280.000000, 138460.000000, 138460.000000, 150500.000000, 130935.000000, 
128, 7.000, 38055.000000, 66435.000000, 66435.000000, 64500.000000, 56760.000000, 
256, 8.000, 18048.000000, 31302.000000, 31302.000000, 31020.000000, 27636.000000, 
512, 9.000, 7375.000000, 13875.000000, 13875.000000, 13125.000000, 11875.000000, 
1024, 10.000, 3472.000000, 5600.000000, 5600.000000, 6104.000000, 5600.000000, 
2048, 11.000, 1500.000000, 2425.000000, 2425.000000, 2500.000000, 2325.000000, 
4096, 12.000, 627.000000, 869.000000, 869.000000, 1166.000000, 1078.000000, 
8192, 13.000, 270.000000, 365.000000, 365.000000, 515.000000, 485.000000, 
16384, 14.000, 124.000000, 158.000000, 158.000000, 242.000000, 228.000000, 
32768, 15.000, 59.000000, 70.000000, 70.000000, 94.000000, 91.000000, 
65536, 16.000, 19.000000, 26.000000, 26.000000, 27.000000, 25.000000, 
131072, 17.000, 7.000000, 9.000000, 9.000000, 10.000000, 9.000000, 
262144, 18.000, 3.000000, 3.000000, 3.000000, 4.000000, 4.000000, 
524288, 19.000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 
1048576, 20.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
2097152, 21.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
