size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 174.413876, 277.154310, 499.277027, 0.000000, 0.000000, 
4, 2.000, 452.669585, 867.305480, 1607.724474, 0.000000, 0.000000, 
8, 3.000, 663.352945, 1447.285280, 2599.124698, 0.000000, 0.000000, 
16, 4.000, 1590.361711, 2333.390849, 3214.831702, 2471.633860, 2101.638369, 
32, 5.000, 1575.673448, 2334.841653, 0.000000, 3007.938034, 2631.571586, 
64, 6.000, 2135.148936, 3535.360494, 0.000000, 3839.770379, 3342.687897, 
128, 7.000, 2241.693567, 3932.493443, 0.000000, 3839.413246, 3384.709993, 
256, 8.000, 2446.684274, 4264.753554, 0.000000, 4214.053265, 3736.542354, 
512, 9.000, 2257.908060, 4240.040851, 0.000000, 4000.079367, 3634.190078, 
1024, 10.000, 2336.295654, 3809.447888, 0.000000, 4139.757727, 3809.625043, 
2048, 11.000, 2235.009326, 3621.048724, 0.000000, 3754.066016, 3463.645922, 
4096, 12.000, 2052.296074, 2828.606395, 0.000000, 3791.378256, 3497.693283, 
8192, 13.000, 1897.071980, 2558.012082, 0.000000, 3630.128935, 3418.303111, 
16384, 14.000, 1894.255421, 2394.685379, 0.000000, 3673.829496, 3479.463487, 
32768, 15.000, 1914.650539, 2291.758531, 0.000000, 3074.964560, 2963.808767, 
65536, 16.000, 1316.018707, 1778.012443, 0.000000, 1825.633036, 1714.816511, 
131072, 17.000, 914.094963, 1297.431923, 0.000000, 1359.004635, 1336.569071, 
262144, 18.000, 849.349957, 814.041577, 0.000000, 1233.344747, 1254.435900, 
524288, 19.000, 847.911136, 706.858351, 0.000000, 1138.987640, 1098.487818, 
1048576, 20.000, 872.631645, 631.552446, 0.000000, 1139.335463, 1153.104965, 
2097152, 21.000, 721.479518, 582.765770, 0.000000, 1033.448286, 973.789004, 
