size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.165750, 0.166891, 0.150545, 0.000000, 0.000000, 
4, 2.000, 0.153271, 0.153326, 0.151042, 0.000000, 0.000000, 
8, 3.000, 0.156883, 0.151802, 0.151262, 0.000000, 0.000000, 
16, 4.000, 0.152691, 0.151148, 0.151071, 0.152051, 0.151309, 
32, 5.000, 0.150420, 0.151029, 0.151029, 0.151826, 0.151573, 
64, 6.000, 0.151575, 0.150391, 0.150391, 0.150509, 0.150415, 
128, 7.000, 0.152105, 0.151369, 0.151369, 0.150523, 0.150255, 
256, 8.000, 0.151071, 0.150317, 0.150317, 0.150755, 0.151473, 
512, 9.000, 0.150511, 0.150791, 0.150791, 0.151197, 0.150570, 
1024, 10.000, 0.152178, 0.150531, 0.150531, 0.150987, 0.150524, 
2048, 11.000, 0.151194, 0.150869, 0.150869, 0.150024, 0.151221, 
4096, 12.000, 0.150165, 0.151004, 0.151004, 0.151162, 0.151488, 
8192, 13.000, 0.151570, 0.151958, 0.151958, 0.151084, 0.151100, 
16384, 14.000, 0.150152, 0.151341, 0.151341, 0.151093, 0.150304, 
32768, 15.000, 0.151462, 0.150131, 0.150131, 0.150255, 0.150915, 
65536, 16.000, 0.151388, 0.153334, 0.153334, 0.155078, 0.152870, 
131072, 17.000, 0.170634, 0.154567, 0.154567, 0.163960, 0.150041, 
262144, 18.000, 0.166666, 0.173895, 0.173895, 0.153034, 0.150461, 
524288, 19.000, 0.234965, 0.281852, 0.281852, 0.174918, 0.181367, 
1048576, 20.000, 0.240325, 0.332063, 0.332063, 0.184068, 0.181870, 
2097152, 21.000, 0.610415, 0.755710, 0.755710, 0.426148, 0.452256, 
