size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.012000, 0.654000, 0.051000, 0.000000, 0.000000, 
4, 2.000, 0.005000, 0.060000, 0.046000, 0.000000, 0.000000, 
8, 3.000, 0.005000, 0.079000, 0.054000, 0.000000, 0.000000, 
16, 4.000, 0.005000, 0.064000, 0.052000, 0.000000, 0.000000, 
32, 5.000, 0.006000, 0.485000, 0.485000, 0.008000, 0.005000, 
64, 6.000, 0.005000, 0.683000, 0.683000, 0.008000, 0.006000, 
128, 7.000, 0.006000, 0.835000, 0.835000, 0.009000, 0.006000, 
256, 8.000, 0.007000, 1.922000, 1.922000, 0.011000, 0.013000, 
512, 9.000, 0.011000, 2.440000, 2.440000, 0.015000, 0.012000, 
1024, 10.000, 0.016000, 3.856000, 3.856000, 0.019000, 0.015000, 
2048, 11.000, 0.026000, 4.565000, 4.565000, 0.031000, 0.027000, 
4096, 12.000, 0.047000, 5.258000, 5.258000, 0.051000, 0.050000, 
8192, 13.000, 0.117000, 6.275000, 6.275000, 0.092000, 0.089000, 
16384, 14.000, 0.218000, 6.951000, 6.951000, 0.175000, 0.173000, 
32768, 15.000, 0.515000, 8.573000, 8.573000, 0.344000, 0.340000, 
65536, 16.000, 0.960000, 9.508000, 9.508000, 0.824000, 0.692000, 
131072, 17.000, 2.046000, 11.538000, 11.538000, 1.794000, 1.339000, 
262144, 18.000, 4.031000, 18.537000, 18.537000, 3.653000, 2.664000, 
524288, 19.000, 8.390000, 28.713000, 28.713000, 7.624000, 5.354000, 
1048576, 20.000, 16.144000, 34.240000, 34.240000, 15.628000, 10.602000, 
2097152, 21.000, 32.265000, 89.883000, 89.883000, 21.345000, 21.329000, 
