size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, inf, inf, inf, 0.000000, 0.000000, 
32, 5.000, 1.659151, 1.355660, 1.355660, 0.876495, 1.000000, 
64, 6.000, 1.731295, 1.726240, 1.726240, 0.859603, 1.000000, 
128, 7.000, 1.816610, 1.174004, 1.174004, 0.878740, 1.000000, 
256, 8.000, 1.916214, 1.834410, 1.834410, 0.884066, 1.000000, 
512, 9.000, 2.030399, 1.433427, 1.433427, 0.900603, 1.000000, 
1024, 10.000, 2.047608, 1.363334, 1.363334, 0.898057, 1.000000, 
2048, 11.000, 1.956721, 1.392585, 1.392585, 0.905615, 1.000000, 
4096, 12.000, 1.919908, 1.378997, 1.378997, 0.879037, 1.000000, 
8192, 13.000, 2.010948, 1.424204, 1.424204, 0.917884, 1.000000, 
16384, 14.000, 2.004687, 1.598793, 1.598793, 0.935902, 1.000000, 
32768, 15.000, 1.925698, 1.599261, 1.599261, 0.916556, 1.000000, 
65536, 16.000, 1.790646, 1.559519, 1.559519, 0.938262, 1.000000, 
131072, 17.000, 1.273571, 0.920055, 0.920055, 0.960866, 1.000000, 
262144, 18.000, 1.181926, 0.871761, 0.871761, 0.938349, 1.000000, 
524288, 19.000, 1.211250, 1.273126, 1.273126, 0.938566, 1.000000, 
1048576, 20.000, 0.948230, 1.039775, 1.039775, 0.980193, 1.000000, 
2097152, 21.000, 0.973980, 1.134531, 1.134531, 0.978598, 1.000000, 
