size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 1380610.000000, 4141830.000000, 4141830.000000, 0.000000, 0.000000, 
4, 2.000, 1380608.000000, 2588640.000000, 2588640.000000, 0.000000, 0.000000, 
8, 3.000, 632775.000000, 2301000.000000, 2301000.000000, 0.000000, 0.000000, 
16, 4.000, 496156.000000, 1208032.000000, 1208032.000000, 0.000000, 0.000000, 
32, 5.000, 224328.000000, 276096.000000, 276096.000000, 422772.000000, 371004.000000, 
64, 6.000, 136610.000000, 136610.000000, 136610.000000, 269625.000000, 233675.000000, 
128, 7.000, 64680.000000, 98560.000000, 98560.000000, 132440.000000, 115500.000000, 
256, 8.000, 31678.000000, 33700.000000, 33700.000000, 68748.000000, 61334.000000, 
512, 9.000, 13455.000000, 19136.000000, 19136.000000, 30199.000000, 27209.000000, 
1024, 10.000, 6298.000000, 9380.000000, 9380.000000, 14338.000000, 12864.000000, 
2048, 11.000, 2928.000000, 4087.000000, 4087.000000, 6283.000000, 5673.000000, 
4096, 12.000, 1204.000000, 1680.000000, 1680.000000, 2632.000000, 2296.000000, 
8192, 13.000, 504.000000, 696.000000, 696.000000, 1080.000000, 996.000000, 
16384, 14.000, 228.000000, 288.000000, 288.000000, 486.000000, 456.000000, 
32768, 15.000, 106.000000, 128.000000, 128.000000, 222.000000, 204.000000, 
65536, 16.000, 48.000000, 55.000000, 55.000000, 92.000000, 86.000000, 
131072, 17.000, 14.000000, 19.000000, 19.000000, 18.000000, 17.000000, 
262144, 18.000, 5.000000, 6.000000, 6.000000, 6.000000, 6.000000, 
524288, 19.000, 2.000000, 2.000000, 2.000000, 3.000000, 3.000000, 
1048576, 20.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
2097152, 21.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
