size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 91.800150, 249.440212, 227.896138, 0.000000, 0.000000, 
4, 2.000, 342.058508, 688.070066, 666.831530, 0.000000, 0.000000, 
8, 3.000, 474.886958, 1825.152360, 1831.034483, 0.000000, 0.000000, 
16, 4.000, 1038.370209, 2569.238806, 2557.577987, 0.000000, 0.000000, 
32, 5.000, 1176.185608, 1439.499479, 0.000000, 2226.448729, 1951.471478, 
64, 6.000, 1706.813819, 1711.815381, 0.000000, 3437.632809, 2955.008595, 
128, 7.000, 1893.910418, 2930.568793, 0.000000, 3915.266294, 3440.494159, 
256, 8.000, 2161.341116, 2257.720088, 0.000000, 4684.701874, 4141.565731, 
512, 9.000, 2045.361695, 2897.164823, 0.000000, 4611.237135, 4152.890019, 
1024, 10.000, 2129.191923, 3197.869224, 0.000000, 4854.682044, 4359.754289, 
2048, 11.000, 2176.273656, 3057.893031, 0.000000, 4702.189385, 4258.369841, 
4096, 12.000, 1956.680135, 2724.180523, 0.000000, 4273.578668, 3756.657346, 
8192, 13.000, 1748.338241, 2468.617104, 0.000000, 3830.332094, 3515.814567, 
16384, 14.000, 1723.165490, 2160.640536, 0.000000, 3690.989325, 3454.412196, 
32768, 15.000, 1728.854998, 2081.760848, 0.000000, 3632.380610, 3329.263094, 
65536, 16.000, 1671.126222, 1918.807559, 0.000000, 3189.331711, 2992.431973, 
131072, 17.000, 978.842903, 1354.950969, 0.000000, 1297.406741, 1246.620417, 
262144, 18.000, 688.841525, 933.924644, 0.000000, 867.648743, 814.153942, 
524288, 19.000, 614.317906, 584.459660, 0.000000, 792.795225, 744.089397, 
1048576, 20.000, 553.674261, 504.931453, 0.000000, 535.624492, 525.012517, 
2097152, 21.000, 543.578568, 466.653019, 0.000000, 541.010373, 529.433590, 
