size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.150393, 0.166045, 0.181742, 0.000000, 0.000000, 
4, 2.000, 0.161447, 0.150487, 0.155280, 0.000000, 0.000000, 
8, 3.000, 0.159897, 0.151286, 0.150800, 0.000000, 0.000000, 
16, 4.000, 0.152903, 0.150461, 0.151147, 0.000000, 0.000000, 
32, 5.000, 0.152580, 0.153440, 0.153440, 0.151909, 0.152092, 
64, 6.000, 0.153673, 0.153224, 0.153224, 0.150592, 0.151829, 
128, 7.000, 0.152999, 0.150670, 0.150670, 0.151543, 0.150397, 
256, 8.000, 0.150084, 0.152848, 0.152848, 0.150272, 0.151648, 
512, 9.000, 0.151564, 0.152181, 0.152181, 0.150889, 0.150954, 
1024, 10.000, 0.151446, 0.150180, 0.150180, 0.151216, 0.151072, 
2048, 11.000, 0.151548, 0.150548, 0.150548, 0.150508, 0.150059, 
4096, 12.000, 0.151223, 0.151560, 0.151560, 0.151358, 0.150204, 
8192, 13.000, 0.153500, 0.150127, 0.150127, 0.150138, 0.150847, 
16384, 14.000, 0.151749, 0.152872, 0.152872, 0.151012, 0.151394, 
32768, 15.000, 0.150681, 0.151109, 0.151109, 0.150201, 0.150589, 
65536, 16.000, 0.150592, 0.150280, 0.150280, 0.151237, 0.150676, 
131072, 17.000, 0.159347, 0.156228, 0.156228, 0.154570, 0.151930, 
262144, 18.000, 0.171251, 0.151573, 0.151573, 0.163151, 0.173871, 
524288, 19.000, 0.162155, 0.170439, 0.170439, 0.188475, 0.200812, 
1048576, 20.000, 0.189385, 0.207667, 0.207667, 0.195767, 0.199724, 
2097152, 21.000, 0.405095, 0.471873, 0.471873, 0.407018, 0.415918, 
