| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss |  real Pocket | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss |  cplx Pocket | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|       96  |       2870   |       4418   |       8553   |       2500   |       2059   |       2443   |       7993   |       7263   |       4821   |      13996   |      11608   |       2171   |       1749   |       3744   |       9673   |       8209   |
|      160  |       4633   |       7898   |      10124   |       1975   |       1435   |       3338   |       8951   |       7436   |       3386   |      11938   |      15136   |       1890   |       2046   |       3401   |       8704   |       7347   |
|      192  |       4990   |       9427   |       8271   |       2399   |       1784   |       4179   |      10960   |       9131   |       3690   |       6713   |      19916   |       2364   |       2423   |       4430   |      11154   |       9321   |
|      384  |       4054   |       9338   |      13012   |       2779   |       2665   |       3569   |       9737   |      10292   |       5217   |       7076   |      20281   |       3046   |       2057   |       4755   |      10829   |       9506   |
|      480  |       4703   |      10561   |      11488   |       3572   |       2865   |       4176   |      14971   |      13616   |       4771   |       8210   |      13919   |       3954   |       2668   |       6105   |      11627   |      10406   |
|      640  |       5029   |      11844   |      10649   |       2202   |       1659   |       3588   |       8098   |       8270   |       5085   |      17677   |      16982   |       1730   |       2309   |       4160   |       9352   |       6449   |
|      768  |       4835   |      10372   |      11317   |       2723   |       2042   |       3894   |      11267   |      11359   |       5106   |      14084   |      16268   |       2499   |       2966   |       5100   |      11927   |      10657   |
|      800  |       4956   |       8457   |      11706   |       2622   |       1989   |       3906   |      14401   |      11569   |       4564   |      12149   |      15966   |       2935   |       3093   |       5100   |      12179   |       9809   |
|     2400  |       4504   |       8434   |        n/a   |       2026   |       1534   |       2876   |       9684   |       8586   |       4865   |      12115   |        n/a   |       2275   |       2217   |       3870   |       7810   |       6970   |
|     9216  |       4334   |       9790   |        n/a   |       1827   |       1570   |       2454   |       6569   |       5957   |       4416   |       7604   |        n/a   |       1938   |       1968   |       3255   |       5705   |       5555   |
