| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss |  real Pocket | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss |  cplx Pocket | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        211   |        486   |        523   |        736   |        194   |        129   |        n/a   |        n/a   |        371   |        713   |       1239   |       1716   |        905   |        258   |        n/a   |        n/a   |
|        4  |        727   |       2015   |       2015   |       2855   |       1012   |        480   |        n/a   |        n/a   |       1020   |       2161   |       3785   |       4504   |       2502   |        917   |        n/a   |        n/a   |
|        8  |        952   |       3974   |       3574   |       4574   |       2299   |        817   |        n/a   |        n/a   |       1366   |       4536   |       5588   |       5684   |       1626   |       1515   |        n/a   |        n/a   |
|       16  |       2344   |       5754   |       5785   |       4504   |       1727   |       2033   |        n/a   |        n/a   |       3489   |       7198   |       7118   |       2518   |       3266   |       2796   |       7404   |       6172   |
|       32  |       2695   |       4205   |       6656   |       2488   |       3053   |       2690   |       5806   |       5040   |       3454   |       8234   |      12732   |       3324   |       2048   |       3493   |       8942   |       7868   |
|       64  |       4118   |       5384   |       7659   |       3133   |       2159   |       4257   |       9248   |       8277   |       5004   |      14632   |      17272   |       3924   |       3586   |       4772   |      12711   |      10126   |
|      128  |       4760   |      10430   |       9049   |       3668   |       3396   |       4958   |      12196   |      10539   |       5695   |      17194   |      19928   |       3767   |       2472   |       5612   |      13365   |      11849   |
|      256  |       5747   |       9059   |      12660   |       3571   |       2560   |       6035   |      15691   |      13982   |       5796   |      17985   |      20891   |       4131   |       3945   |       6114   |      15797   |      13391   |
|      512  |       5483   |      11640   |      13233   |       3908   |       3747   |       5832   |      17529   |      15321   |       5651   |      18635   |      21343   |       4319   |       2912   |       6553   |      16091   |      13784   |
|     1024  |       5748   |      13158   |      14568   |       4043   |       2878   |       6236   |      18636   |      17356   |       5515   |      18525   |      20530   |       4013   |       4193   |       7245   |      16722   |      14724   |
|     2048  |       5913   |      13862   |      14129   |       3821   |       3968   |       6114   |      18888   |      16885   |       5942   |      18899   |      20496   |       4171   |       3137   |       7044   |      15502   |      13494   |
|     4096  |       5804   |      13686   |        n/a   |       3996   |       3120   |       6218   |      18299   |      16358   |       5429   |      16046   |        n/a   |       4188   |       4244   |       7323   |      14101   |      12377   |
|     8192  |       5068   |      11964   |        n/a   |       3907   |       3961   |       5188   |      12303   |      11336   |       5357   |      10448   |        n/a   |       3816   |       3102   |       6594   |      12819   |      11409   |
|    16384  |       4906   |       9549   |        n/a   |       3685   |       3200   |       5251   |      12705   |      11327   |       4390   |      11512   |        n/a   |       3937   |       3990   |       6760   |      12304   |      11296   |
|    32768  |       4800   |       9758   |        n/a   |       3832   |       3878   |       5079   |      10454   |       9666   |       5051   |      11338   |        n/a   |       3969   |       3192   |       6734   |      10782   |       9767   |
|    65536  |       4570   |       9037   |        n/a   |       3822   |       3125   |       4924   |       9655   |       8789   |       4829   |      10684   |        n/a   |       3701   |       3461   |       6827   |      10913   |       9830   |
|   131072  |       4439   |       7651   |        n/a   |       3616   |       3310   |       4589   |       8678   |       7512   |       4520   |       9881   |        n/a   |       3739   |       2046   |       5915   |       9458   |       8719   |
|   262144  |       3975   |       6506   |        n/a   |       3608   |       2172   |       3991   |       6353   |       4392   |       3307   |       6104   |        n/a   |       3447   |       1676   |       4648   |       4818   |       3678   |
|   524288  |       3190   |       4705   |        n/a   |       3226   |       1615   |       2195   |       3393   |       5063   |       3570   |       2906   |        n/a   |       2310   |        990   |       4270   |       5192   |       4780   |
|  1048576  |       2620   |       3712   |        n/a   |       2684   |       1311   |       2863   |       4568   |       4086   |       2713   |       1369   |        n/a   |       1390   |       1106   |       4286   |       5111   |       4618   |
|  2097152  |       2651   |       3002   |        n/a   |       2001   |        783   |       1678   |       3697   |       2873   |       3173   |       2206   |        n/a   |       2122   |        879   |       4100   |       3961   |       4065   |
