size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.017000, 0.100000, 65.792000, 0.004000, 0.026000, 0.022000, 0.005000, 0.005000, 
160, 7.322, 0.009000, 0.107000, 72.420000, 0.004000, 0.032000, 0.026000, 0.006000, 0.006000, 
192, 7.585, 0.015000, 0.461000, 86.730000, 0.003000, 0.042000, 0.026000, 0.006000, 0.005000, 
384, 8.585, 0.024000, 0.280000, 136.316000, 0.004000, 0.036000, 0.026000, 0.009000, 0.010000, 
480, 8.907, 0.027000, 0.257000, 221.534000, 0.004000, 0.043000, 0.027000, 0.009000, 0.013000, 
640, 9.322, 0.020000, 0.070000, 144.925000, 0.008000, 0.062000, 0.037000, 0.024000, 0.017000, 
768, 9.585, 0.022000, 0.420000, 169.579000, 0.006000, 0.075000, 0.036000, 0.024000, 0.024000, 
800, 9.644, 0.034000, 0.080000, 161.416000, 0.006000, 0.087000, 0.031000, 0.016000, 0.024000, 
2400, 11.229, 0.074000, 0.148000, 0.148000, 0.027000, 0.240000, 0.085000, 0.062000, 0.074000, 
9216, 13.170, 0.242000, 0.422000, 0.422000, 0.077000, 0.926000, 0.194000, 0.280000, 0.227000, 
