size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 1.702736, 0.586530, 0.707189, 3.780630, 4.693317, 2.192811, 0.848689, 1.000000, 
160, 7.322, 2.170147, 0.615452, 0.485401, 3.887020, 3.591870, 2.160495, 0.844083, 1.000000, 
192, 7.585, 2.526104, 1.388495, 0.468045, 3.942906, 3.847684, 2.104071, 0.835680, 1.000000, 
384, 8.585, 1.822145, 1.343334, 0.468706, 3.121252, 4.621280, 1.999249, 0.877856, 1.000000, 
480, 8.907, 2.181027, 1.267437, 0.747586, 2.631903, 3.900066, 1.704522, 0.894983, 1.000000, 
640, 9.322, 1.268144, 0.364820, 0.379738, 3.727542, 2.792940, 1.550097, 0.689555, 1.000000, 
768, 9.585, 2.087260, 0.756664, 0.655075, 4.264910, 3.593033, 2.089633, 0.893514, 1.000000, 
800, 9.644, 2.149326, 0.807380, 0.614351, 3.341508, 3.171660, 1.923258, 0.805372, 1.000000, 
2400, 11.229, 1.432652, 0.575375, 0.575375, 3.063579, 3.144055, 1.801065, 0.892456, 1.000000, 
9216, 13.170, 1.257924, 0.730630, 0.730630, 2.866717, 2.822313, 1.706643, 0.973843, 1.000000, 
