size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 114886.000000, 337246.000000, 277950.000000, 51884.000000, 44472.000000, 88944.000000, 229772.000000, 196418.000000, 
160, 7.322, 43838.000000, 154386.000000, 194412.000000, 24778.000000, 26684.000000, 43838.000000, 112454.000000, 95300.000000, 
192, 7.585, 39700.000000, 69872.000000, 206440.000000, 25408.000000, 25408.000000, 46052.000000, 115924.000000, 96868.000000, 
384, 8.585, 24290.000000, 32618.000000, 92302.000000, 13880.000000, 9716.000000, 22208.000000, 49968.000000, 43722.000000, 
480, 8.907, 17205.000000, 28860.000000, 48840.000000, 13875.000000, 9435.000000, 21645.000000, 41070.000000, 36630.000000, 
640, 9.322, 12950.000000, 44770.000000, 42920.000000, 4440.000000, 5920.000000, 10730.000000, 23680.000000, 16280.000000, 
768, 9.585, 10472.000000, 28952.000000, 33264.000000, 5236.000000, 6160.000000, 10472.000000, 24332.000000, 21868.000000, 
800, 9.644, 8880.000000, 23680.000000, 31080.000000, 5920.000000, 6216.000000, 10064.000000, 23976.000000, 19240.000000, 
2400, 11.229, 2720.000000, 6800.000000, 6800.000000, 1280.000000, 1280.000000, 2160.000000, 4400.000000, 3920.000000, 
9216, 13.170, 561.000000, 952.000000, 952.000000, 255.000000, 255.000000, 408.000000, 714.000000, 697.000000, 
