size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 4821.253754, 13996.429684, 11608.376644, 2171.415885, 1749.152865, 3743.742433, 9672.944757, 8209.327263, 
160, 7.322, 3385.583248, 11937.936328, 15136.360949, 1890.189327, 2045.511709, 3400.715775, 8704.381653, 7347.225138, 
192, 7.585, 3690.044560, 6713.343360, 19915.685557, 2364.103071, 2422.611279, 4430.198507, 11154.310513, 9321.402691, 
384, 8.585, 5216.920590, 7076.393263, 20281.349056, 3045.564045, 2057.003592, 4754.793753, 10828.602757, 9505.959697, 
480, 8.907, 4770.985263, 8209.928540, 13918.916490, 3953.631480, 2668.055198, 6104.721447, 11626.576157, 10405.546356, 
640, 9.322, 5085.212369, 17676.406559, 16982.052370, 1730.019324, 2308.954412, 4160.230357, 9352.041828, 6448.781527, 
768, 9.585, 5105.743277, 14084.161799, 16268.347547, 2498.752766, 2966.013710, 5099.899610, 11927.016095, 10656.840683, 
800, 9.644, 4563.588149, 12148.689772, 15965.858356, 2935.415435, 3092.561395, 5099.977993, 12179.066296, 9808.585884, 
2400, 11.229, 4865.406541, 12114.546436, 0.000000, 2275.241146, 2217.026114, 3870.127193, 7810.374549, 6970.454702, 
9216, 13.170, 4416.320545, 7603.597896, 0.000000, 1937.923182, 1968.402742, 3255.193242, 5704.688015, 5555.440874, 
