size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.150637, 0.152319, 0.151363, 0.151048, 0.160725, 0.150188, 0.150163, 0.151251, 
160, 7.322, 0.151692, 0.151504, 0.150469, 0.153570, 0.152825, 0.151017, 0.151350, 0.151955, 
192, 7.585, 0.156680, 0.151572, 0.150957, 0.156516, 0.152736, 0.151384, 0.151351, 0.151340, 
384, 8.585, 0.153491, 0.151955, 0.150032, 0.150242, 0.155712, 0.153974, 0.152121, 0.151626, 
480, 8.907, 0.154175, 0.150288, 0.150016, 0.150039, 0.151187, 0.151586, 0.151022, 0.150501, 
640, 9.322, 0.151931, 0.151105, 0.150784, 0.153115, 0.152965, 0.153875, 0.151064, 0.150613, 
768, 9.585, 0.150981, 0.151321, 0.150516, 0.154251, 0.152883, 0.151154, 0.150175, 0.151054, 
800, 9.644, 0.150123, 0.150381, 0.150186, 0.155594, 0.155072, 0.152245, 0.151881, 0.151335, 
2400, 11.229, 0.150659, 0.151268, 0.151268, 0.151610, 0.155591, 0.150409, 0.151819, 0.151555, 
9216, 13.170, 0.154180, 0.151965, 0.151965, 0.159709, 0.157236, 0.152128, 0.151912, 0.152279, 
