size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.014000, 0.049000, 0.307000, 0.001000, 0.003000, 0.003000, 0.000000, 0.000000, 
4, 2.000, 0.002000, 0.036000, 0.241000, 0.000000, 0.016000, 0.003000, 0.000000, 0.000000, 
8, 3.000, 0.002000, 0.051000, 0.268000, 0.002000, 0.003000, 0.004000, 0.000000, 0.000000, 
16, 4.000, 0.003000, 0.049000, 0.266000, 0.002000, 0.005000, 0.005000, 0.003000, 0.001000, 
32, 5.000, 0.003000, 0.123000, 5.395000, 0.001000, 0.006000, 0.006000, 0.003000, 0.002000, 
64, 6.000, 0.013000, 0.065000, 16.323000, 0.002000, 0.007000, 0.008000, 0.003000, 0.002000, 
128, 7.000, 0.006000, 0.090000, 30.053000, 0.002000, 0.023000, 0.023000, 0.004000, 0.004000, 
256, 8.000, 0.021000, 0.090000, 46.594000, 0.003000, 0.030000, 0.021000, 0.005000, 0.005000, 
512, 9.000, 0.016000, 0.072000, 65.845000, 0.004000, 0.040000, 0.028000, 0.021000, 0.009000, 
1024, 10.000, 0.037000, 0.080000, 88.994000, 0.007000, 0.068000, 0.031000, 0.023000, 0.022000, 
2048, 11.000, 0.071000, 0.077000, 125.577000, 0.020000, 0.128000, 0.041000, 0.036000, 0.035000, 
4096, 12.000, 0.129000, 0.083000, 0.083000, 0.027000, 0.233000, 0.088000, 0.062000, 0.070000, 
8192, 13.000, 0.226000, 0.172000, 0.172000, 0.035000, 0.459000, 0.100000, 0.128000, 0.130000, 
16384, 14.000, 0.452000, 0.207000, 0.207000, 0.090000, 0.878000, 0.171000, 0.224000, 0.225000, 
32768, 15.000, 0.837000, 0.252000, 0.252000, 0.141000, 1.705000, 0.282000, 0.412000, 0.412000, 
65536, 16.000, 1.658000, 0.349000, 0.349000, 0.260000, 3.435000, 0.485000, 0.827000, 0.796000, 
131072, 17.000, 3.579000, 0.597000, 0.597000, 0.491000, 6.719000, 0.955000, 1.607000, 1.627000, 
262144, 18.000, 8.755000, 1.114000, 1.114000, 1.001000, 14.142000, 1.704000, 3.539000, 4.467000, 
524288, 19.000, 14.282000, 3.140000, 3.140000, 1.897000, 32.390000, 3.447000, 6.402000, 6.732000, 
1048576, 20.000, 35.058000, 7.557000, 7.557000, 6.157000, 55.863000, 7.243000, 12.985000, 15.421000, 
2097152, 21.000, 54.265000, 7.090000, 7.090000, 8.030000, 132.122000, 14.200000, 29.794000, 37.433000, 
