size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, 1.768918, 0.857478, 0.867044, 2.451263, 1.889722, 2.207811, 0.833573, 1.000000, 
32, 5.000, 2.277742, 0.955527, 0.617939, 2.367092, 3.841575, 2.252512, 0.879805, 1.000000, 
64, 6.000, 2.023820, 0.692098, 0.586292, 2.580671, 2.823848, 2.121991, 0.796656, 1.000000, 
128, 7.000, 2.080706, 0.689124, 0.594582, 3.145898, 4.792336, 2.111284, 0.886600, 1.000000, 
256, 8.000, 2.310466, 0.744556, 0.640981, 3.241880, 3.394677, 2.190190, 0.847683, 1.000000, 
512, 9.000, 2.439508, 0.739706, 0.645865, 3.191260, 4.733356, 2.103462, 0.856674, 1.000000, 
1024, 10.000, 2.669817, 0.794800, 0.717191, 3.669207, 3.511162, 2.032118, 0.880501, 1.000000, 
2048, 11.000, 2.270869, 0.714000, 0.658379, 3.235574, 4.301602, 1.915711, 0.870447, 1.000000, 
4096, 12.000, 2.279618, 0.771329, 0.771329, 2.955075, 2.916110, 1.690170, 0.877714, 1.000000, 
8192, 13.000, 2.129834, 1.092017, 1.092017, 2.989794, 3.678204, 1.730204, 0.890020, 1.000000, 
16384, 14.000, 2.572812, 0.981212, 0.981212, 2.868907, 2.830687, 1.671105, 0.918048, 1.000000, 
32768, 15.000, 1.933670, 0.861437, 0.861437, 2.460862, 3.059580, 1.450471, 0.905898, 1.000000, 
65536, 16.000, 2.035826, 0.920127, 0.920127, 2.656452, 2.840429, 1.439929, 0.900839, 1.000000, 
131072, 17.000, 1.928890, 0.882379, 0.882379, 2.331578, 4.261837, 1.473955, 0.921805, 1.000000, 
262144, 18.000, 1.112240, 0.602647, 0.602647, 1.067308, 2.195034, 0.791355, 0.763475, 1.000000, 
524288, 19.000, 1.338733, 1.644771, 1.644771, 2.069142, 4.829707, 1.119402, 0.920539, 1.000000, 
1048576, 20.000, 1.702300, 3.374050, 3.374050, 3.323560, 4.176167, 1.077561, 0.903684, 1.000000, 
2097152, 21.000, 1.281202, 1.842990, 1.842990, 1.915562, 4.626067, 0.991496, 1.026233, 1.000000, 
