size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 3419418.000000, 5699030.000000, 10258254.000000, 13677672.000000, 6838836.000000, 2279612.000000, 0.000000, 0.000000, 
4, 2.000, 1994657.000000, 4274265.000000, 7123775.000000, 8548530.000000, 4844167.000000, 1994657.000000, 0.000000, 0.000000, 
8, 3.000, 854847.000000, 2849490.000000, 3514371.000000, 3609354.000000, 1044813.000000, 949830.000000, 0.000000, 0.000000, 
16, 4.000, 819214.000000, 1709664.000000, 1674046.000000, 605506.000000, 783596.000000, 676742.000000, 1745282.000000, 1460338.000000, 
32, 5.000, 327681.000000, 783585.000000, 1196748.000000, 313434.000000, 199458.000000, 327681.000000, 840573.000000, 740844.000000, 
64, 6.000, 195888.000000, 575792.000000, 676704.000000, 154336.000000, 142464.000000, 189952.000000, 498624.000000, 397712.000000, 
128, 7.000, 96672.000000, 290016.000000, 335808.000000, 63600.000000, 43248.000000, 94128.000000, 223872.000000, 198432.000000, 
256, 8.000, 43407.000000, 132447.000000, 153594.000000, 31164.000000, 28938.000000, 45633.000000, 116865.000000, 99057.000000, 
512, 9.000, 18772.000000, 60762.000000, 69654.000000, 14326.000000, 9880.000000, 21736.000000, 52858.000000, 44954.000000, 
1024, 10.000, 8214.000000, 27306.000000, 30192.000000, 5994.000000, 6216.000000, 10656.000000, 24642.000000, 21756.000000, 
2048, 11.000, 4040.000000, 12625.000000, 13736.000000, 2828.000000, 2121.000000, 4747.000000, 10403.000000, 8989.000000, 
4096, 12.000, 1702.000000, 4922.000000, 4922.000000, 1288.000000, 1334.000000, 2254.000000, 4324.000000, 3818.000000, 
8192, 13.000, 756.000000, 1491.000000, 1491.000000, 546.000000, 441.000000, 945.000000, 1806.000000, 1617.000000, 
16384, 14.000, 288.000000, 756.000000, 756.000000, 261.000000, 261.000000, 450.000000, 810.000000, 747.000000, 
32768, 15.000, 156.000000, 348.000000, 348.000000, 124.000000, 100.000000, 208.000000, 332.000000, 300.000000, 
65536, 16.000, 70.000000, 154.000000, 154.000000, 54.000000, 50.000000, 98.000000, 158.000000, 142.000000, 
131072, 17.000, 31.000000, 67.000000, 67.000000, 26.000000, 14.000000, 40.000000, 64.000000, 59.000000, 
262144, 18.000, 11.000000, 20.000000, 20.000000, 12.000000, 6.000000, 16.000000, 16.000000, 12.000000, 
524288, 19.000, 6.000000, 5.000000, 5.000000, 4.000000, 2.000000, 7.000000, 8.000000, 8.000000, 
1048576, 20.000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000, 4.000000, 4.000000, 4.000000, 
2097152, 21.000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 
