size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 370.584257, 713.221243, 1239.398560, 1716.155308, 904.871259, 258.367136, 0.000000, 0.000000, 
4, 2.000, 1019.997955, 2161.312180, 3784.712445, 4503.819026, 2502.200843, 916.704352, 0.000000, 0.000000, 
8, 3.000, 1366.197735, 4535.959885, 5588.123708, 5684.208537, 1626.210278, 1514.981059, 0.000000, 0.000000, 
16, 4.000, 3489.125684, 7197.827597, 7118.393728, 2517.876407, 3266.067770, 2795.515968, 7404.233678, 6171.977098, 
32, 5.000, 3454.136745, 8233.853914, 12732.038938, 3323.752336, 2048.020536, 3492.842296, 8942.444331, 7867.665819, 
64, 6.000, 5003.658037, 14631.514277, 17272.036584, 3923.952488, 3586.043932, 4772.163718, 12711.217802, 10126.474200, 
128, 7.000, 5694.738531, 17194.321105, 19928.334183, 3766.522357, 2472.496921, 5612.252655, 13364.512995, 11849.055115, 
256, 8.000, 5795.750274, 17984.873294, 20891.036315, 4130.540458, 3944.637585, 6114.014759, 15796.945416, 13390.852420, 
512, 9.000, 5650.508603, 18634.903994, 21342.502859, 4319.453510, 2912.202236, 6553.224810, 16090.587816, 13784.505310, 
1024, 10.000, 5514.884242, 18524.929939, 20529.637770, 4012.772134, 4193.414586, 7245.562056, 16721.940358, 14723.802600, 
2048, 11.000, 5942.200517, 18899.077692, 20495.599314, 4170.459077, 3136.941176, 7043.848743, 15502.380272, 13493.982275, 
4096, 12.000, 5429.362547, 16046.359217, 0.000000, 4188.379567, 4244.372751, 7322.833197, 14101.291012, 12376.822667, 
8192, 13.000, 5356.863236, 10447.860296, 0.000000, 3816.058908, 3101.845729, 6594.114756, 12819.127270, 11409.076165, 
16384, 14.000, 4390.438111, 11512.275591, 0.000000, 3937.409880, 3990.424124, 6759.518539, 12303.949564, 11295.958230, 
32768, 15.000, 5050.994032, 11338.032520, 0.000000, 3968.852683, 3192.185795, 6733.638501, 10781.653607, 9766.979745, 
65536, 16.000, 4828.777811, 10683.897740, 0.000000, 3700.542045, 3460.852460, 6827.120212, 10912.306882, 9830.248566, 
131072, 17.000, 4520.138205, 9880.997822, 0.000000, 3739.475488, 2045.797330, 5915.272505, 9458.284320, 8718.777589, 
262144, 18.000, 3307.262729, 6103.942875, 0.000000, 3446.554791, 1675.814895, 4648.315283, 4818.116213, 3678.496979, 
524288, 19.000, 3570.334759, 2905.964515, 0.000000, 2309.960115, 989.650147, 4269.812259, 5192.255509, 4779.804949, 
1048576, 20.000, 2713.062377, 1368.808824, 0.000000, 1389.606207, 1105.906176, 4285.981137, 5110.642135, 4618.438279, 
2097152, 21.000, 3172.913066, 2205.715202, 0.000000, 2122.183662, 878.752831, 4100.022995, 3961.232618, 4065.167189, 
