size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.184542, 0.159811, 0.165536, 0.159399, 0.151156, 0.176463, 0.000000, 0.000000, 
4, 2.000, 0.156444, 0.158210, 0.150580, 0.151845, 0.154877, 0.174072, 0.000000, 0.000000, 
8, 3.000, 0.150171, 0.150768, 0.150936, 0.152395, 0.154196, 0.150470, 0.000000, 0.000000, 
16, 4.000, 0.150266, 0.152016, 0.150510, 0.153909, 0.153549, 0.154932, 0.150857, 0.151429, 
32, 5.000, 0.151786, 0.152266, 0.150392, 0.150882, 0.155825, 0.150104, 0.150397, 0.150661, 
64, 6.000, 0.150332, 0.151115, 0.150448, 0.151034, 0.152553, 0.152848, 0.150632, 0.150814, 
128, 7.000, 0.152102, 0.151128, 0.150983, 0.151295, 0.156725, 0.150276, 0.150091, 0.150050, 
256, 8.000, 0.153384, 0.150822, 0.150572, 0.154517, 0.150242, 0.152856, 0.151510, 0.151498, 
512, 9.000, 0.153086, 0.150251, 0.150388, 0.152830, 0.156332, 0.152840, 0.151374, 0.150276, 
1024, 10.000, 0.152517, 0.150939, 0.150595, 0.152958, 0.151790, 0.150599, 0.150900, 0.151307, 
2048, 11.000, 0.153164, 0.150492, 0.150981, 0.152763, 0.152320, 0.151821, 0.151176, 0.150070, 
4096, 12.000, 0.154082, 0.150767, 0.150767, 0.151151, 0.154484, 0.151292, 0.150719, 0.151624, 
8192, 13.000, 0.150295, 0.151979, 0.151979, 0.152374, 0.151409, 0.152619, 0.150035, 0.150936, 
16384, 14.000, 0.150464, 0.150629, 0.150629, 0.152047, 0.150027, 0.152702, 0.151004, 0.151686, 
32768, 15.000, 0.151806, 0.150863, 0.150863, 0.153567, 0.153976, 0.151829, 0.151354, 0.150974, 
65536, 16.000, 0.152006, 0.151144, 0.151144, 0.153013, 0.151491, 0.150518, 0.151824, 0.151469, 
131072, 17.000, 0.152816, 0.151089, 0.151089, 0.154925, 0.152484, 0.150676, 0.150774, 0.150784, 
262144, 18.000, 0.156941, 0.154608, 0.154608, 0.164289, 0.168942, 0.162419, 0.156695, 0.153930, 
524288, 19.000, 0.167404, 0.171397, 0.171397, 0.172496, 0.201313, 0.163310, 0.153482, 0.166726, 
1048576, 20.000, 0.231895, 0.153210, 0.153210, 0.150917, 0.189632, 0.195722, 0.164140, 0.181633, 
2097152, 21.000, 0.277601, 0.199664, 0.199664, 0.207523, 0.501167, 0.214829, 0.222356, 0.216671, 
