size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.028000, 3.174000, 97.808000, 0.021000, 0.032000, 0.021000, 0.004000, 0.002000, 
160, 7.322, 0.004000, 2.422000, 179.192000, 0.003000, 0.032000, 0.022000, 0.012000, 0.004000, 
192, 7.585, 0.004000, 2.096000, 176.210000, 0.003000, 0.035000, 0.021000, 0.003000, 0.004000, 
384, 8.585, 0.020000, 2.462000, 265.679000, 0.006000, 0.037000, 0.017000, 0.006000, 0.005000, 
480, 8.907, 0.016000, 4.749000, 480.670000, 0.004000, 0.038000, 0.018000, 0.004000, 0.005000, 
640, 9.322, 0.014000, 3.861000, 388.849000, 0.008000, 0.061000, 0.032000, 0.008000, 0.009000, 
768, 9.585, 0.017000, 3.601000, 382.486000, 0.010000, 0.064000, 0.035000, 0.008000, 0.014000, 
800, 9.644, 0.020000, 4.909000, 391.067000, 0.009000, 0.057000, 0.028000, 0.007000, 0.007000, 
2400, 11.229, 0.034000, 8.369000, 8.369000, 0.035000, 0.169000, 0.070000, 0.045000, 0.033000, 
9216, 13.170, 0.114000, 5.709000, 5.709000, 0.078000, 0.705000, 0.157000, 0.112000, 0.114000, 
