size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 2.530363, 1.643974, 0.849127, 2.904819, 3.527809, 2.972809, 0.908647, 1.000000, 
160, 7.322, 1.605172, 0.941571, 0.734548, 3.764654, 5.183904, 2.228024, 0.830809, 1.000000, 
192, 7.585, 1.829774, 0.968603, 1.103887, 3.805596, 5.117707, 2.184798, 0.833106, 1.000000, 
384, 8.585, 2.538554, 1.102224, 0.790989, 3.703877, 3.861902, 2.883694, 1.056998, 1.000000, 
480, 8.907, 2.895257, 1.289205, 1.185240, 3.811812, 4.752385, 3.260228, 0.909505, 1.000000, 
640, 9.322, 1.644542, 0.698274, 0.776615, 3.756549, 4.983555, 2.304807, 1.021294, 1.000000, 
768, 9.585, 2.349336, 1.095101, 1.003694, 4.171064, 5.561589, 2.917292, 1.008123, 1.000000, 
800, 9.644, 2.334175, 1.368014, 0.988234, 4.412754, 5.815333, 2.961424, 0.803324, 1.000000, 
2400, 11.229, 1.906089, 1.017936, 1.017936, 4.237324, 5.596595, 2.984910, 0.886567, 1.000000, 
9216, 13.170, 1.374679, 0.608482, 0.608482, 3.260881, 3.794811, 2.427399, 0.906874, 1.000000, 
