size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 144180.000000, 216270.000000, 408510.000000, 120150.000000, 104130.000000, 120150.000000, 384480.000000, 352440.000000, 
160, 7.322, 119451.000000, 205950.000000, 259497.000000, 53547.000000, 37071.000000, 86499.000000, 230664.000000, 193593.000000, 
192, 7.585, 102990.000000, 199114.000000, 171650.000000, 51495.000000, 37763.000000, 89258.000000, 226578.000000, 188815.000000, 
384, 8.585, 37550.000000, 85614.000000, 118658.000000, 25534.000000, 25534.000000, 33044.000000, 88618.000000, 94626.000000, 
480, 8.907, 33628.000000, 74462.000000, 81668.000000, 25221.000000, 20417.000000, 30025.000000, 105688.000000, 96080.000000, 
640, 9.322, 25632.000000, 60075.000000, 53667.000000, 11214.000000, 8811.000000, 18423.000000, 40851.000000, 42453.000000, 
768, 9.585, 20010.000000, 42688.000000, 46690.000000, 11339.000000, 8671.000000, 16008.000000, 46023.000000, 46690.000000, 
800, 9.644, 19840.000000, 33280.000000, 46080.000000, 10240.000000, 8320.000000, 15360.000000, 56320.000000, 45440.000000, 
2400, 11.229, 5046.000000, 9396.000000, 9396.000000, 2262.000000, 1740.000000, 3306.000000, 10788.000000, 9570.000000, 
9216, 13.170, 1102.000000, 2432.000000, 2432.000000, 456.000000, 418.000000, 608.000000, 1634.000000, 1482.000000, 
