size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 2870.325306, 4417.932794, 8553.445693, 2500.315741, 2058.774925, 2443.133221, 7993.169186, 7262.963041, 
160, 7.322, 4632.783595, 7897.874712, 10123.779996, 1975.324191, 1434.521521, 3337.669407, 8950.806079, 7436.416949, 
192, 7.585, 4990.007562, 9426.559006, 8271.328573, 2399.263760, 1784.118538, 4179.153927, 10959.712284, 9130.606774, 
384, 8.585, 4054.405285, 9337.752491, 13011.968455, 2778.802401, 2665.097487, 3569.139161, 9737.298180, 10292.274655, 
480, 8.907, 4702.793483, 10561.396363, 11487.807030, 3572.009292, 2865.051562, 4176.327481, 14970.601992, 13615.773357, 
640, 9.322, 5028.852931, 11843.784207, 10648.997414, 2201.542162, 1659.502257, 3588.244797, 8097.765696, 8270.238060, 
768, 9.585, 4834.853165, 10372.161897, 11316.835424, 2723.213838, 2042.358098, 3893.570435, 11267.206237, 11358.649064, 
800, 9.644, 4956.232246, 8456.558435, 11706.459082, 2621.635780, 1989.360660, 3906.475146, 14401.123700, 11568.706695, 
2400, 11.229, 4504.262476, 8434.293285, 0.000000, 2026.172178, 1534.077943, 2876.336216, 9683.947241, 8585.565118, 
9216, 13.170, 4333.494672, 9790.305869, 0.000000, 1826.872277, 1569.828458, 2454.120702, 6568.929002, 5957.194971, 
