size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.158770, 0.154729, 0.150958, 0.151888, 0.159868, 0.155443, 0.152037, 0.153379, 
160, 7.322, 0.151030, 0.152745, 0.150143, 0.158786, 0.151371, 0.151804, 0.150950, 0.152490, 
192, 7.585, 0.150286, 0.153806, 0.151110, 0.156283, 0.154123, 0.155519, 0.150537, 0.150578, 
384, 8.585, 0.152659, 0.151127, 0.150312, 0.151461, 0.157923, 0.152605, 0.150011, 0.151544, 
480, 8.907, 0.152856, 0.150713, 0.151968, 0.150934, 0.152334, 0.153683, 0.150912, 0.150844, 
640, 9.322, 0.152044, 0.151307, 0.150333, 0.151946, 0.158381, 0.153156, 0.150485, 0.153125, 
768, 9.585, 0.152330, 0.151481, 0.151852, 0.153255, 0.156264, 0.151325, 0.150342, 0.151293, 
800, 9.644, 0.154419, 0.151810, 0.151844, 0.150674, 0.161332, 0.151676, 0.150861, 0.151518, 
2400, 11.229, 0.150952, 0.150110, 0.150110, 0.150429, 0.152833, 0.154874, 0.150108, 0.150196, 
9216, 13.170, 0.154326, 0.150752, 0.150752, 0.151479, 0.161592, 0.150350, 0.150957, 0.150974, 
