size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.008000, 0.313000, 0.042000, 0.008000, 0.026000, 0.003000, 0.000000, 0.000000, 
4, 2.000, 0.001000, 0.044000, 0.045000, 0.001000, 0.003000, 0.002000, 0.000000, 0.000000, 
8, 3.000, 0.005000, 0.041000, 0.047000, 0.025000, 0.004000, 0.002000, 0.000000, 0.000000, 
16, 4.000, 0.002000, 0.046000, 0.038000, 0.002000, 0.005000, 0.007000, 0.000000, 0.000000, 
32, 5.000, 0.002000, 0.259000, 5.520000, 0.001000, 0.005000, 0.005000, 0.002000, 0.001000, 
64, 6.000, 0.011000, 0.392000, 15.863000, 0.002000, 0.007000, 0.008000, 0.002000, 0.001000, 
128, 7.000, 0.016000, 0.413000, 40.584000, 0.003000, 0.022000, 0.010000, 0.002000, 0.002000, 
256, 8.000, 0.013000, 0.897000, 85.448000, 0.002000, 0.017000, 0.021000, 0.005000, 0.003000, 
512, 9.000, 0.017000, 1.146000, 127.233000, 0.004000, 0.037000, 0.024000, 0.005000, 0.004000, 
1024, 10.000, 0.022000, 1.871000, 197.719000, 0.006000, 0.057000, 0.030000, 0.007000, 0.007000, 
2048, 11.000, 0.033000, 2.117000, 258.774000, 0.020000, 0.101000, 0.039000, 0.021000, 0.021000, 
4096, 12.000, 0.059000, 2.471000, 2.471000, 0.031000, 0.178000, 0.066000, 0.024000, 0.024000, 
8192, 13.000, 0.107000, 3.030000, 3.030000, 0.035000, 0.347000, 0.102000, 0.055000, 0.056000, 
16384, 14.000, 0.212000, 3.264000, 3.264000, 0.083000, 1.069000, 0.118000, 0.105000, 0.106000, 
32768, 15.000, 0.351000, 3.819000, 3.819000, 0.142000, 1.430000, 0.186000, 0.188000, 0.188000, 
65536, 16.000, 0.706000, 4.353000, 4.353000, 0.260000, 2.673000, 0.323000, 0.350000, 0.355000, 
131072, 17.000, 1.366000, 5.073000, 5.073000, 0.507000, 5.350000, 0.543000, 0.748000, 0.688000, 
262144, 18.000, 2.725000, 7.363000, 7.363000, 0.998000, 10.710000, 0.996000, 1.633000, 1.439000, 
524288, 19.000, 7.411000, 11.491000, 11.491000, 1.985000, 21.631000, 2.043000, 2.873000, 3.169000, 
1048576, 20.000, 11.301000, 15.732000, 15.732000, 4.019000, 43.692000, 3.718000, 5.607000, 5.757000, 
2097152, 21.000, 22.652000, 33.141000, 33.141000, 8.190000, 108.359000, 13.366000, 15.881000, 15.527000, 
