size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
32, 5.000, 1.870369, 1.198728, 0.757230, 2.025714, 1.650673, 1.873857, 0.868102, 1.000000, 
64, 6.000, 2.009989, 1.537329, 1.080618, 2.641899, 3.833787, 1.944318, 0.894941, 1.000000, 
128, 7.000, 2.214157, 1.010444, 1.164631, 2.872875, 3.103352, 2.125436, 0.864130, 1.000000, 
256, 8.000, 2.433043, 1.543496, 1.104396, 3.915905, 5.462547, 2.316667, 0.891067, 1.000000, 
512, 9.000, 2.794276, 1.316229, 1.157793, 3.920458, 4.089156, 2.627141, 0.874061, 1.000000, 
1024, 10.000, 3.019333, 1.319065, 1.191384, 4.292862, 6.029819, 2.783029, 0.931295, 1.000000, 
2048, 11.000, 2.855512, 1.218099, 1.195056, 4.419005, 4.255231, 2.761594, 0.893957, 1.000000, 
4096, 12.000, 2.818413, 1.195265, 1.195265, 4.094043, 5.243666, 2.630797, 0.893929, 1.000000, 
8192, 13.000, 2.236825, 0.947509, 0.947509, 2.901720, 2.861584, 2.184875, 0.921385, 1.000000, 
16384, 14.000, 2.308785, 1.186204, 1.186204, 3.073642, 3.539325, 2.157061, 0.891537, 1.000000, 
32768, 15.000, 2.013842, 0.990549, 0.990549, 2.522175, 2.492481, 1.903338, 0.924600, 1.000000, 
65536, 16.000, 1.923140, 0.972551, 0.972551, 2.299273, 2.812738, 1.784771, 0.910323, 1.000000, 
131072, 17.000, 1.692241, 0.981833, 0.981833, 2.077603, 2.269223, 1.636740, 0.865584, 1.000000, 
262144, 18.000, 1.105058, 0.675189, 0.675189, 1.217360, 2.021915, 1.100606, 0.691380, 1.000000, 
524288, 19.000, 1.587242, 1.076180, 1.076180, 1.569287, 3.134232, 2.306488, 1.492443, 1.000000, 
1048576, 20.000, 1.559645, 1.100634, 1.100634, 1.522371, 3.117877, 1.427044, 0.894496, 1.000000, 
2097152, 21.000, 1.083841, 0.956955, 0.956955, 1.435582, 3.668915, 1.711818, 0.777194, 1.000000, 
