size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 4832422.000000, 9664844.000000, 9664844.000000, 12081055.000000, 4832422.000000, 2416211.000000, 0.000000, 0.000000, 
4, 2.000, 3020260.000000, 7852676.000000, 7852676.000000, 10872936.000000, 4228364.000000, 1812156.000000, 0.000000, 0.000000, 
8, 3.000, 1208100.000000, 5033750.000000, 4631050.000000, 5839150.000000, 3020250.000000, 1208100.000000, 0.000000, 0.000000, 
16, 4.000, 1132590.000000, 2718216.000000, 2718216.000000, 2114168.000000, 830566.000000, 981578.000000, 0.000000, 0.000000, 
32, 5.000, 513434.000000, 815454.000000, 1268484.000000, 483232.000000, 573838.000000, 513434.000000, 1117474.000000, 966464.000000, 
64, 6.000, 327184.000000, 427856.000000, 604032.000000, 251680.000000, 176176.000000, 339768.000000, 729872.000000, 654368.000000, 
128, 7.000, 161790.000000, 350545.000000, 307401.000000, 124039.000000, 118646.000000, 167183.000000, 409868.000000, 355938.000000, 
256, 8.000, 84924.000000, 134463.000000, 186361.000000, 54257.000000, 37744.000000, 89642.000000, 231182.000000, 205233.000000, 
512, 9.000, 36680.000000, 76504.000000, 86984.000000, 26200.000000, 25152.000000, 38776.000000, 114232.000000, 100608.000000, 
1024, 10.000, 16956.000000, 38622.000000, 42861.000000, 12246.000000, 8478.000000, 18369.000000, 54636.000000, 50868.000000, 
2048, 11.000, 7918.000000, 18618.000000, 18832.000000, 5136.000000, 5350.000000, 8346.000000, 25252.000000, 22684.000000, 
4096, 12.000, 3626.000000, 8428.000000, 8428.000000, 2450.000000, 1960.000000, 3822.000000, 11270.000000, 9996.000000, 
8192, 13.000, 1440.000000, 3375.000000, 3375.000000, 1125.000000, 1125.000000, 1485.000000, 3510.000000, 3195.000000, 
16384, 14.000, 651.000000, 1260.000000, 1260.000000, 504.000000, 420.000000, 693.000000, 1680.000000, 1491.000000, 
32768, 15.000, 297.000000, 603.000000, 603.000000, 234.000000, 243.000000, 315.000000, 639.000000, 594.000000, 
65536, 16.000, 132.000000, 260.000000, 260.000000, 112.000000, 92.000000, 144.000000, 280.000000, 252.000000, 
131072, 17.000, 60.000000, 104.000000, 104.000000, 50.000000, 46.000000, 62.000000, 118.000000, 102.000000, 
262144, 18.000, 26.000000, 42.000000, 42.000000, 23.000000, 14.000000, 26.000000, 41.000000, 28.000000, 
524288, 19.000, 10.000000, 15.000000, 15.000000, 10.000000, 5.000000, 7.000000, 11.000000, 16.000000, 
1048576, 20.000, 4.000000, 6.000000, 6.000000, 4.000000, 2.000000, 5.000000, 7.000000, 6.000000, 
2097152, 21.000, 2.000000, 3.000000, 3.000000, 2.000000, 1.000000, 2.000000, 3.000000, 2.000000, 
