size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 211.109451, 485.694960, 523.391567, 735.738994, 193.977353, 129.148369, 0.000000, 0.000000, 
4, 2.000, 726.976448, 2014.875749, 2015.173060, 2855.381545, 1012.436234, 479.631573, 0.000000, 0.000000, 
8, 3.000, 952.309633, 3974.248475, 3573.547852, 4574.194601, 2298.632604, 817.296200, 0.000000, 0.000000, 
16, 4.000, 2344.133341, 5754.093949, 5784.592139, 4504.069505, 1726.714786, 2033.028654, 0.000000, 0.000000, 
32, 5.000, 2694.820268, 4204.725749, 6656.262791, 2488.161164, 3053.487026, 2689.808454, 5806.153107, 5040.328038, 
64, 6.000, 4117.842076, 5383.917526, 7659.356339, 3132.925746, 2158.923149, 4256.938628, 9248.458914, 8276.863928, 
128, 7.000, 4759.654330, 10429.699683, 9048.869381, 3668.315147, 3395.884822, 4958.325378, 12195.616719, 10538.574459, 
256, 8.000, 5746.715744, 9058.619596, 12660.293232, 3570.571776, 2559.610064, 6035.387003, 15691.328654, 13981.956396, 
512, 9.000, 5483.009369, 11640.199699, 13233.087219, 3907.992102, 3746.772615, 5831.852891, 17528.740176, 15321.116494, 
1024, 10.000, 5748.253304, 13157.713191, 14567.829048, 4042.991450, 2878.376712, 6236.317461, 18636.415238, 17355.885940, 
2048, 11.000, 5913.288204, 13862.124599, 14129.331113, 3821.079246, 3968.155928, 6114.349342, 18888.525513, 16885.355467, 
4096, 12.000, 5803.942737, 13685.629485, 0.000000, 3995.514177, 3119.589659, 6217.859450, 18298.979248, 16357.925942, 
8192, 13.000, 5067.852823, 11963.970681, 0.000000, 3906.638233, 3961.433163, 5188.399255, 12303.207120, 11335.853784, 
16384, 14.000, 4906.124155, 9549.186210, 0.000000, 3685.295352, 3200.403963, 5251.254295, 12705.297725, 11327.416220, 
32768, 15.000, 4799.842177, 9758.353253, 0.000000, 3832.374149, 3878.153127, 5078.518713, 10454.391372, 9666.044695, 
65536, 16.000, 4569.984416, 9036.751632, 0.000000, 3822.336093, 3124.643449, 4924.272716, 9654.506951, 8788.761716, 
131072, 17.000, 4438.899550, 7650.706056, 0.000000, 3615.556363, 3310.198292, 4589.483811, 8678.259400, 7511.612123, 
262144, 18.000, 3974.890068, 6505.497184, 0.000000, 3608.253850, 2172.406935, 3990.923795, 6353.232143, 4392.510822, 
524288, 19.000, 3189.916741, 4704.755068, 0.000000, 3226.429492, 1615.422737, 2195.192948, 3392.556797, 5063.170749, 
1048576, 20.000, 2619.835351, 3712.386707, 0.000000, 2683.925132, 1310.507043, 2863.271949, 4567.906551, 4086.050892, 
2097152, 21.000, 2650.851832, 3002.330955, 0.000000, 2001.335672, 783.084315, 1678.373768, 3696.673121, 2873.073340, 
