size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.228906, 0.198990, 0.184658, 0.164203, 0.249123, 0.187088, 0.000000, 0.000000, 
4, 2.000, 0.166182, 0.155894, 0.155871, 0.152315, 0.167057, 0.151129, 0.000000, 0.000000, 
8, 3.000, 0.152232, 0.151991, 0.155511, 0.153185, 0.157672, 0.177380, 0.000000, 0.000000, 
16, 4.000, 0.154611, 0.151167, 0.150370, 0.150205, 0.153923, 0.154501, 0.000000, 0.000000, 
32, 5.000, 0.152421, 0.155150, 0.152456, 0.155370, 0.150343, 0.152705, 0.153971, 0.153397, 
64, 6.000, 0.152554, 0.152581, 0.151415, 0.154241, 0.156679, 0.153245, 0.151523, 0.151795, 
128, 7.000, 0.152284, 0.150574, 0.152191, 0.151485, 0.156523, 0.151055, 0.150563, 0.151311, 
256, 8.000, 0.151325, 0.151999, 0.150734, 0.155603, 0.150999, 0.152092, 0.150867, 0.150307, 
512, 9.000, 0.154132, 0.151428, 0.151447, 0.154465, 0.154667, 0.153193, 0.150148, 0.151295, 
1024, 10.000, 0.151028, 0.150288, 0.150639, 0.155082, 0.150805, 0.150809, 0.150102, 0.150061, 
2048, 11.000, 0.150827, 0.151285, 0.150130, 0.151402, 0.151865, 0.153752, 0.150588, 0.151322, 
4096, 12.000, 0.153538, 0.151346, 0.151346, 0.150697, 0.154408, 0.151064, 0.151359, 0.150179, 
8192, 13.000, 0.151301, 0.150211, 0.150211, 0.153339, 0.151218, 0.152404, 0.151912, 0.150079, 
16384, 14.000, 0.152181, 0.151329, 0.151329, 0.156847, 0.150509, 0.151352, 0.151650, 0.150961, 
32768, 15.000, 0.152069, 0.151863, 0.151863, 0.150058, 0.153990, 0.152435, 0.150215, 0.151025, 
65536, 16.000, 0.151436, 0.150845, 0.150845, 0.153624, 0.154368, 0.153317, 0.152054, 0.150329, 
131072, 17.000, 0.150593, 0.151447, 0.151447, 0.154072, 0.154822, 0.150507, 0.151488, 0.151285, 
262144, 18.000, 0.154323, 0.152318, 0.152318, 0.150388, 0.152044, 0.153703, 0.152255, 0.150393, 
524288, 19.000, 0.156140, 0.158799, 0.158799, 0.154373, 0.154162, 0.158825, 0.161495, 0.157395, 
1048576, 20.000, 0.160098, 0.169472, 0.169472, 0.156275, 0.160026, 0.183108, 0.160687, 0.153974, 
2097152, 21.000, 0.166136, 0.220030, 0.220030, 0.220054, 0.281197, 0.262398, 0.178702, 0.153286, 
