| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|       96  |       4890   |       5998   |      11207   |       2863   |       2902   |      12470   |      10876   |       6280   |      29919   |      33424   |       3174   |       2551   |      13831   |      11559   |
|      160  |       5692   |      14297   |      13855   |       2412   |       2157   |      15332   |      13663   |       6036   |      32763   |      37367   |       2589   |       2740   |      17083   |      13979   |
|      192  |       5993   |      12700   |      11964   |       3046   |       2685   |      16713   |      14234   |       6364   |      33384   |      38124   |       3521   |       3373   |      18421   |      14999   |
|      384  |       5810   |      12157   |      16057   |       3266   |       3222   |      18673   |      16710   |       6890   |      35602   |      40457   |       3717   |       3066   |      18170   |      16084   |
|      480  |       5830   |      15011   |      16324   |       4241   |       3905   |      16443   |      16689   |       6100   |      13987   |      26111   |       4744   |       4093   |      17603   |      13209   |
|      640  |       6294   |      15462   |      16048   |       2643   |       2260   |      20156   |      18609   |       6608   |      36983   |      40833   |       2756   |       2989   |      19934   |      16943   |
|      768  |       6469   |      16148   |      17862   |       3076   |       2969   |      21420   |      17133   |       6460   |      22345   |      38852   |       3426   |       3368   |      17753   |      17341   |
|      800  |       5935   |      17210   |      17668   |       3626   |       3231   |      20450   |      18457   |       6131   |      21324   |      27202   |       3605   |       3842   |      19047   |      16618   |
|     2400  |       5982   |      13491   |      n/a     |       2605   |       2502   |      19428   |      18804   |       5692   |      19122   |      n/a     |       2741   |       2870   |      17482   |      15517   |
|     9216  |       5817   |      14092   |      n/a     |       2310   |       2269   |      17037   |      15660   |       6083   |      15724   |      n/a     |       2518   |       2553   |      17651   |      16095   |
