| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        258   |        733   |        788   |       1018   |        272   |         89   |         78   |        484   |        831   |       1646   |       2145   |       1088   |        294   |        240   |
|        4  |        879   |       2359   |       2383   |       3453   |       1183   |        355   |        307   |       1242   |       2461   |       4318   |       4440   |       2964   |       1149   |        883   |
|        8  |       1099   |       4150   |       5229   |       5266   |       2687   |       1075   |        938   |       1377   |       5452   |       6939   |       5664   |       2405   |       3529   |       2642   |
|       16  |       2648   |       6223   |       6899   |       5300   |       2464   |       2839   |       2518   |       4281   |       7945   |       7935   |       2839   |       3690   |       9047   |       7272   |
|       32  |       3212   |       5208   |       8081   |       2981   |       3314   |       5474   |       5906   |       4642   |      10197   |      21262   |       4021   |       3158   |      11307   |       9705   |
|       64  |       5068   |       6813   |       9182   |       3770   |       2901   |      12020   |      10247   |       6355   |      27505   |      28594   |       4845   |       3821   |      16070   |      13213   |
|      128  |       5527   |      10630   |      12481   |       4365   |       4055   |      14562   |      12715   |       7175   |      31208   |      26311   |       4044   |       3736   |      18055   |      14166   |
|      256  |       6799   |      13675   |      16273   |       4263   |       3706   |      19537   |      17378   |       6648   |      32955   |      38871   |       4933   |       4762   |      20363   |      17139   |
|      512  |       6278   |      15238   |      18592   |       4484   |       4391   |      20393   |      18506   |       7465   |      37327   |      42086   |       5190   |       4249   |      17242   |      15848   |
|     1024  |       6898   |      15188   |      19805   |       4801   |       3824   |      23596   |      21410   |       7093   |      37031   |      36677   |       4480   |       5010   |      21596   |      18344   |
|     2048  |       6947   |      16257   |      19522   |       4507   |       4580   |      22989   |      21185   |       6647   |      37743   |      37480   |       5021   |       4749   |      19971   |      15904   |
|     4096  |       6314   |      16598   |      n/a     |       4733   |       4584   |      22365   |      18554   |       6447   |      27205   |      n/a     |       4996   |       5225   |      17743   |      15452   |
|     8192  |       5626   |      14320   |      n/a     |       4727   |       4997   |      14710   |      13365   |       6573   |      19543   |      n/a     |       4651   |       4324   |      15952   |      14480   |
|    16384  |       5675   |      14103   |      n/a     |       4393   |       4150   |      14982   |      13660   |       5504   |      19515   |      n/a     |       4216   |       4806   |      15883   |      14269   |
|    32768  |       5836   |      13269   |      n/a     |       4568   |       4474   |      12757   |      11793   |       6132   |      18387   |      n/a     |       4611   |       3985   |      14519   |      13201   |
|    65536  |       5255   |      12331   |      n/a     |       4586   |       3605   |      11640   |      10851   |       4648   |      17311   |      n/a     |       4411   |       3914   |      14152   |      13330   |
|   131072  |       5143   |      12178   |      n/a     |       4311   |       4044   |      10471   |       9758   |       4868   |      17760   |      n/a     |       4458   |       3516   |      13932   |      12902   |
|   262144  |       4972   |      12425   |      n/a     |       4366   |       3524   |      11653   |      10113   |       3818   |      14980   |      n/a     |       4406   |       3346   |      12550   |      11636   |
|   524288  |       4900   |      11366   |      n/a     |       4174   |       2968   |      10044   |       9095   |       3593   |       5639   |      n/a     |       4108   |       2109   |       9849   |       6166   |
|  1048576  |       3682   |      10306   |      n/a     |       3899   |       2129   |       7713   |       7240   |       3412   |       3528   |      n/a     |       3780   |       1930   |       6108   |       5657   |
